"Trade #","Type","Signal","Date and time","Price INR"
"1","Entry Long","Buy","2024-02-29 20:00","62938.5"
"1","Exit Long","Sell","2024-02-26 11:30","51527.5"
"2","Entry Long","Buy","2024-02-19 17:00","52354.5"
"2","Exit Long","Sell","2024-02-16 19:00","52490.5"
"3","Entry Long","Buy","2024-02-15 19:30","52439"
"3","Exit Long","Sell","2024-02-13 17:00","49988.5"
"4","Entry Long","Buy","2024-05-17 20:00","66840.5"
"4","Exit Long","Sell","2024-05-14 08:30","62527"
"5","Entry Long","Buy","2024-07-21 00:00","67454.5"
"5","Exit Long","Sell","2024-07-20 16:30","66543"
"6","Entry Long","Buy","2024-07-10 17:00","58489"
"6","Exit Long","Sell","2024-07-09 03:30","56856.5"
"7","Entry Long","Buy","2024-08-24 03:00","64383"
"7","Exit Long","Sell","2024-08-22 17:00","61325"
"8","Entry Long","Buy","2024-08-10 05:00","60820"
"8","Exit Long","Sell","2024-08-09 19:30","60319"
"9","Entry Long","Buy","2024-09-23 08:30","64656"
"9","Exit Long","Sell","2024-09-22 05:00","63337.5"
"10","Entry Long","Buy","2024-09-22 04:30","63281.5"
"10","Exit Long","Sell","2024-09-20 11:30","63688"
"11","Entry Long","Buy","2024-11-25 16:00","98400.5"
"11","Exit Long","Sell","2024-11-24 19:30","96679.5"
"12","Entry Long","Buy","2024-11-13 23:30","92672"
"12","Exit Long","Sell","2024-11-13 12:30","87184.5"
"13","Entry Long","Buy","2024-12-31 20:30","95556.5"
"13","Exit Long","Sell","2024-12-31 09:00","92486.5"
"14","Entry Long","Buy","2024-12-16 23:00","107026"
"14","Exit Long","Sell","2024-12-14 19:30","101295.5"
"15","Entry Long","Buy","2024-12-09 04:30","100462"
"15","Exit Long","Sell","2024-12-07 12:30","99510.5"
"16","Entry Long","Buy","2024-11-29 21:00","98091.5"
"16","Exit Long","Sell","2025-02-20 16:00","97332.5"
"17","Entry Long","Buy","2025-02-20 15:30","97185"
"17","Exit Long","Sell","2025-02-18 17:00","95614.5"
"18","Entry Long","Buy","2025-03-14 20:00","83496"
"18","Exit Long","Sell","2025-03-12 15:30","82256.5"
"19","Entry Long","Buy","2025-07-12 15:30","118042.5"
"19","Exit Long","Sell","2025-07-12 04:30","117612"
"20","Entry Long","Buy","2025-06-29 17:00","108458.5"
"20","Exit Long","Sell","2025-06-27 11:30","107230.5"
"21","Entry Long","Buy","2025-08-09 15:30","117744.5"
"21","Exit Long","Sell","2025-08-07 12:30","114799.5"
"22","Entry Long","Buy","2025-10-07 03:00","125075.5"
"22","Exit Long","Sell","2025-10-04 21:00","121750.5"
