datetime,close,high,low,renko_open,renko_close,renko_dir,renko_bull,renko_bear,st_bull,st_bear,st_line,swing_high,swing_low,last_swing_high,last_swing_low,bo_buy,bo_sell,rev_buy,rev_sell,buy_signal,sell_signal
2024-01-16 08:00:00+00:00,42943.0,43024.5,42943.0,42800.0,42800.0,0,False,False,False,True,43309.75,,,,,False,False,False,False,False,False
2024-01-17 08:00:00+00:00,42722.5,42730.0,42673.0,42800.0,42800.0,0,False,False,False,True,43178.3,,,,,False,False,False,False,False,False
2024-01-19 04:00:00+00:00,41194.0,41198.0,41194.0,41400.0,41200.0,-1,False,True,False,True,42800.24,,,,,False,False,False,False,False,False
2024-01-24 10:00:00+00:00,40145.0,40240.0,40134.0,40400.0,40200.0,-1,False,True,False,True,42318.392,,,,,False,False,False,False,False,False
2024-01-24 12:00:00+00:00,40048.0,40204.0,40048.0,40400.0,40200.0,-1,False,True,False,True,41955.9136,,,,,False,False,False,False,False,False
2024-01-29 06:00:00+00:00,42050.0,42204.5,42000.0,41800.0,42000.0,1,True,False,True,False,38913.11912,,,,,False,False,False,False,False,False
2024-01-29 12:00:00+00:00,42366.0,42366.0,42264.0,42000.0,42200.0,1,True,False,True,False,39510.895296,,,,,False,False,False,False,False,False
2024-01-31 10:00:00+00:00,42660.0,42777.5,42440.0,42400.0,42600.0,1,True,False,True,False,40036.2662368,,,,,False,False,False,False,False,False
2024-01-31 12:00:00+00:00,42632.5,42633.5,42568.5,42400.0,42600.0,1,True,False,True,False,40469.81298944,,,,,False,False,False,False,False,False
2024-02-01 14:00:00+00:00,42518.0,42945.0,42250.5,42400.0,42600.0,1,True,False,True,False,40469.81298944,,,,,False,False,False,False,False,False
2024-02-01 16:00:00+00:00,42582.0,42665.0,42462.5,42400.0,42600.0,1,True,False,True,False,40593.3103132416,,,,,False,False,False,False,False,False
2024-02-02 04:00:00+00:00,43112.5,43123.5,43000.0,42800.0,43000.0,1,True,False,True,False,41052.19825059328,,,,,False,False,False,False,False,False
2024-02-02 06:00:00+00:00,43120.5,43281.0,43094.0,42800.0,43000.0,1,True,False,True,False,41430.258600474626,,,,,False,False,False,False,False,False
2024-02-02 08:00:00+00:00,42987.5,43121.0,42968.5,42800.0,43000.0,1,True,False,True,False,41516.9568803797,,,,,False,False,False,False,False,False
2024-02-02 10:00:00+00:00,43153.0,43214.5,42956.0,42800.0,43000.0,1,True,False,True,False,41656.21550430376,,,,,False,False,False,False,False,False
2024-02-02 12:00:00+00:00,42684.0,43242.0,42559.5,42800.0,43000.0,1,True,False,True,False,41656.21550430376,,,,,False,False,False,False,False,False
2024-02-02 14:00:00+00:00,43240.5,43246.0,42627.5,43000.0,43200.0,1,True,False,True,False,41656.21550430376,,,,,False,False,False,False,False,False
2024-02-02 16:00:00+00:00,42962.0,43468.0,42908.5,43000.0,43200.0,1,True,False,True,False,41656.21550430376,,,,,False,False,False,False,False,False
2024-02-02 18:00:00+00:00,43063.0,43075.5,42812.5,43000.0,43200.0,1,True,False,True,False,41656.21550430376,,,,,False,False,False,False,False,False
2024-02-02 20:00:00+00:00,42997.5,43095.0,42904.5,43000.0,43200.0,1,True,False,True,False,41656.21550430376,,,,,False,False,False,False,False,False
2024-02-02 22:00:00+00:00,43204.5,43242.5,43002.5,43000.0,43200.0,1,True,False,True,False,41684.556621160205,,,,,False,False,False,False,False,False
2024-02-03 00:00:00+00:00,43220.5,43384.5,43158.5,43000.0,43200.0,1,True,False,True,False,41940.345296928164,,,,,False,False,False,False,False,False
2024-02-03 02:00:00+00:00,43188.0,43243.5,43163.5,43000.0,43200.0,1,True,False,True,False,42074.57623754253,,,,,False,False,False,False,False,False
2024-02-03 04:00:00+00:00,43181.5,43231.5,43110.5,43000.0,43200.0,1,True,False,True,False,42171.06099003403,,,,,False,False,False,False,False,False
2024-02-03 06:00:00+00:00,43048.5,43173.0,43037.5,43000.0,43200.0,1,True,False,True,False,42190.09879202722,,,,,False,False,False,False,False,False
2024-02-03 08:00:00+00:00,43099.0,43131.5,43009.0,43000.0,43200.0,1,True,False,True,False,42240.12903362178,,,,,False,False,False,False,False,False
2024-02-03 10:00:00+00:00,43005.0,43133.0,42986.0,43000.0,43200.0,1,True,False,True,False,42277.80322689742,,,,,False,False,False,False,False,False
2024-02-03 12:00:00+00:00,43085.0,43108.5,42982.5,43000.0,43200.0,1,True,False,True,False,42319.342581517936,,,,,False,False,False,False,False,False
2024-02-03 14:00:00+00:00,43125.0,43202.5,42889.5,43000.0,43200.0,1,True,False,True,False,42319.342581517936,,,,,False,False,False,False,False,False
2024-02-03 16:00:00+00:00,43238.5,43276.5,43074.5,43000.0,43200.0,1,True,False,True,False,42348.83925217148,,,,,False,False,False,False,False,False
2024-02-03 18:00:00+00:00,43059.5,43255.5,43016.5,43000.0,43200.0,1,True,False,True,False,42348.83925217148,,,,,False,False,False,False,False,False
2024-02-03 20:00:00+00:00,43051.0,43109.0,43006.0,43000.0,43200.0,1,True,False,True,False,42348.83925217148,,,,,False,False,False,False,False,False
2024-02-03 22:00:00+00:00,43019.0,43087.0,42958.5,43000.0,43200.0,1,True,False,True,False,42348.83925217148,,,,,False,False,False,False,False,False
2024-02-04 00:00:00+00:00,43040.0,43055.0,42909.5,43000.0,43200.0,1,True,False,True,False,42348.83925217148,,,,,False,False,False,False,False,False
2024-02-04 02:00:00+00:00,43034.0,43077.0,43021.0,43000.0,43200.0,1,True,False,True,False,42453.903486151554,,,,,False,False,False,False,False,False
2024-02-04 04:00:00+00:00,42889.5,43034.0,42871.0,43000.0,43200.0,1,True,False,True,False,42453.903486151554,,,,,False,False,False,False,False,False
2024-02-04 06:00:00+00:00,42851.5,42941.0,42743.5,43000.0,43200.0,1,True,False,True,False,42453.903486151554,,,,,False,False,False,False,False,False
2024-02-04 08:00:00+00:00,42946.0,42994.0,42750.0,43000.0,43200.0,1,True,False,True,False,42453.903486151554,,,,,False,False,False,False,False,False
2024-02-04 10:00:00+00:00,43064.5,43118.0,42874.5,43000.0,43200.0,1,True,False,True,False,42453.903486151554,,,,,False,False,False,False,False,False
2024-02-04 12:00:00+00:00,42998.0,43117.5,42974.0,43000.0,43200.0,1,True,False,True,False,42453.903486151554,,,,,False,False,False,False,False,False
2024-02-04 14:00:00+00:00,42941.5,43022.0,42854.0,43000.0,43200.0,1,True,False,True,False,42453.903486151554,,,,,False,False,False,False,False,False
2024-02-04 16:00:00+00:00,42899.5,42973.5,42844.5,43000.0,43200.0,1,True,False,True,False,42453.903486151554,,,,,False,False,False,False,False,False
2024-02-04 18:00:00+00:00,42635.0,42949.5,42574.0,43000.0,43200.0,1,True,False,True,False,42453.903486151554,,,,,False,False,False,False,False,False
