trade_number,entry_type,exit_type,entry_datetime,exit_datetime,direction,entry_price,exit_price,size_qty,actual_quantity,size_value,lot_notional_usd,gross_pnl,net_pnl,net_pnl_inr,net_pnl_pct,favorable_excursion,favorable_excursion_pct,adverse_excursion,adverse_excursion_pct,cumulative_pnl,cumulative_pnl_inr,cumulative_pnl_pct,margin_required,taker_fees_usd,slippage_usd,slippage_applied,funding_usd,insurance_usd,tax_usd,total_charges_usd,stop_loss
208,SELL_A,ST_FLIP_GREEN,2024-02-22T00:00:00,2024-02-22T02:00:00,short,51709,51387,100,0.1,5170.9,100.0,32.2,22.09,1855.56,0.02,322,0.62,0,0.0,620.32,52106.88,0.62,517.09,0.1,10,5.0,0.01,0,0.0,10.11,51801
209,BUY_A,ST_FLIP_RED,2024-02-22T02:00:00,2024-02-22T04:30:00,long,51433,51433,100,0.1,5143.3,100.0,0.0,-10.11,-849.24,-0.01,0,0.0,0,0.0,610.21,51257.64,0.61,514.33,0.1,10,5.0,0.01,0,0.0,10.11,51341
210,BUY_B,ST_FLIP_RED,2024-02-22T05:00:00,2024-02-22T05:30:00,long,51571,51525,100,0.1,5157.1,100.0,-4.6,-14.71,-1235.64,-0.01,0,0.0,46,0.09,595.5,50022.0,0.6,515.71,0.1,10,5.0,0.01,0,0.0,10.11,51479
211,SELL_A,ST_FLIP_GREEN,2024-02-22T05:30:00,2024-02-22T06:00:00,short,51525,51663,100,0.1,5152.5,100.0,-13.8,-23.91,-2008.44,-0.02,0,0.0,138,0.27,571.59,48013.56,0.57,515.25,0.1,10,5.0,0.01,0,0.0,10.11,51617
212,BUY_B,ST_FLIP_RED,2024-02-22T06:00:00,2024-02-22T09:00:00,long,51663,51755,100,0.1,5166.3,100.0,9.2,-0.91,-76.44,-0.0,92,0.18,0,0.0,570.68,47937.12,0.57,516.63,0.1,10,5.0,0.01,0,0.0,10.11,51571
213,SELL_A,ST_FLIP_GREEN,2024-02-22T09:00:00,2024-02-22T09:30:00,short,51755,51847,100,0.1,5175.5,100.0,-9.2,-19.31,-1622.04,-0.02,0,0.0,92,0.18,551.37,46315.08,0.55,517.55,0.1,10,5.0,0.01,0,0.0,10.11,51847
214,BUY_A,ST_FLIP_RED,2024-02-22T09:30:00,2024-02-22T10:30:00,long,51893,51847,100,0.1,5189.3,100.0,-4.6,-14.71,-1235.64,-0.01,0,0.0,46,0.09,536.66,45079.44,0.54,518.93,0.1,10,5.0,0.01,0,0.0,10.11,51801
215,SELL_A,ST_FLIP_GREEN,2024-02-22T10:30:00,2024-02-22T14:30:00,short,51847,51249,100,0.1,5184.7,100.0,59.8,49.69,4173.96,0.05,598,1.15,0,0.0,586.35,49253.4,0.59,518.47,0.1,10,5.0,0.01,0,0.0,10.11,51939
216,BUY_A,ST_FLIP_RED,2024-02-22T14:30:00,2024-02-22T16:00:00,long,51249,51433,100,0.1,5124.9,100.0,18.4,8.29,696.36,0.01,184,0.36,0,0.0,594.64,49949.76,0.59,512.49,0.1,10,5.0,0.01,0,0.0,10.11,51157
217,BUY_B,ST_FLIP_RED,2024-02-22T17:00:00,2024-02-22T18:00:00,long,51571,51571,100,0.1,5157.1,100.0,0.0,-10.11,-849.24,-0.01,0,0.0,0,0.0,584.53,49100.52,0.58,515.71,0.1,10,5.0,0.01,0,0.0,10.11,51479
218,BUY_B,ST_FLIP_RED,2024-02-22T18:30:00,2024-02-22T19:00:00,long,51709,51617,100,0.1,5170.9,100.0,-9.2,-19.31,-1622.04,-0.02,0,0.0,92,0.18,565.22,47478.48,0.57,517.09,0.1,10,5.0,0.01,0,0.0,10.11,51617
219,SELL_A,ST_FLIP_GREEN,2024-02-22T19:00:00,2024-02-22T20:00:00,short,51617,51709,100,0.1,5161.7,100.0,-9.2,-19.31,-1622.04,-0.02,0,0.0,92,0.18,545.91,45856.44,0.55,516.17,0.1,10,5.0,0.01,0,0.0,10.11,51709
220,BUY_A,ST_FLIP_RED,2024-02-22T20:00:00,2024-02-22T21:00:00,long,51755,51801,100,0.1,5175.5,100.0,4.6,-5.51,-462.84,-0.01,46,0.09,0,0.0,540.4,45393.6,0.54,517.55,0.1,10,5.0,0.01,0,0.0,10.11,51663
