trade_number,entry_type,exit_type,entry_datetime,exit_datetime,direction,entry_price,exit_price,size_qty,actual_quantity,size_value,lot_notional_usd,gross_pnl,net_pnl,net_pnl_inr,net_pnl_pct,favorable_excursion,favorable_excursion_pct,adverse_excursion,adverse_excursion_pct,cumulative_pnl,cumulative_pnl_inr,cumulative_pnl_pct,margin_required,taker_fees_usd,slippage_usd,funding_usd,insurance_usd,tax_usd,total_charges_usd,stop_loss
1,FIRST_ENTRY,SL_HIT,2025-06-18 18:00:00,2025-06-18 21:00:00,short,103575.0,105106.5,100,0.1,10357.5,100.0,-153.15,-158.25,-13293.32,-0.16,0.0,0.0,1531.5,1.48,-158.25,-13293.32,-0.16,1035.75,0.1,5,0.0,0,0.0,5.1,104959.2
2,RE_ENTRY,SL_HIT,2025-06-19 15:00:00,2025-06-20 07:00:00,short,104066.0,105777.5,100,0.1,10406.6,100.0,-171.15,-176.27,-14806.68,-0.18,0.0,0.0,1711.5,1.64,-334.52,-28100.0,-0.33,1040.66,0.1,5,0.02,0,0.0,5.12,105222.1
3,RE_ENTRY,DOUBLE_TOP,2025-06-20 22:00:00,2025-06-23 06:00:00,short,103067.0,101895.0,100,0.1,10306.7,100.0,117.2,112.03,9410.52,0.11,1172.0,1.14,0.0,0.0,-222.49,-18689.48,-0.22,1030.67,0.1,5,0.07,0,0.0,5.17,106098.91
4,RE_ENTRY,SL_HIT,2025-06-23 16:00:00,2025-06-23 17:00:00,short,100652.5,102672.0,100,0.1,10065.25,100.0,-201.95,-207.05,-17392.31,-0.21,0.0,0.0,2019.5,2.01,-429.55,-36081.78,-0.43,1006.52,0.1,5,0.0,0,0.0,5.1,102467.97
5,RE_ENTRY,SL_HIT,2025-07-21 19:00:00,2025-07-22 11:00:00,short,116736.0,119212.0,100,0.1,11673.6,100.0,-247.6,-252.72,-21228.48,-0.25,0.0,0.0,2476.0,2.12,-682.27,-57310.26,-0.68,1167.36,0.1,5,0.02,0,0.0,5.12,118996.23
6,RE_ENTRY,DOUBLE_TOP,2025-07-23 13:00:00,2025-07-24 00:00:00,short,117349.0,119035.0,100,0.1,11734.9,100.0,-168.6,-173.71,-14591.96,-0.17,0.0,0.0,1686.0,1.44,-855.98,-71902.22,-0.86,1173.49,0.1,5,0.01,0,0.0,5.11,120185.01
7,RE_ENTRY,DOUBLE_TOP,2025-07-29 15:00:00,2025-07-30 14:00:00,short,117358.0,118690.5,100,0.1,11735.8,100.0,-133.25,-138.38,-11623.82,-0.14,0.0,0.0,1332.5,1.14,-994.36,-83526.03,-0.99,1173.58,0.1,5,0.03,0,0.0,5.13,118928.12
8,RE_ENTRY,SL_HIT,2025-08-05 07:00:00,2025-08-06 15:00:00,short,113935.5,115500.0,100,0.1,11393.55,100.0,-156.45,-161.59,-13573.56,-0.16,0.0,0.0,1564.5,1.37,-1155.95,-97099.59,-1.16,1139.36,0.1,5,0.04,0,0.0,5.14,115468.44
9,FIRST_ENTRY,SL_HIT,2025-08-21 19:00:00,2025-08-22 14:00:00,short,112170.0,115700.0,100,0.1,11217.0,100.0,-353.0,-358.12,-30082.39,-0.36,0.0,0.0,3530.0,3.15,-1514.07,-127181.99,-1.51,1121.7,0.1,5,0.02,0,0.0,5.12,114705.8
10,RE_ENTRY,DOUBLE_TOP,2025-08-24 19:00:00,2025-08-26 22:00:00,short,112575.0,111862.0,100,0.1,11257.5,100.0,71.3,66.14,5555.45,0.07,713.0,0.63,0.0,0.0,-1447.93,-121626.54,-1.45,1125.75,0.1,5,0.06,0,0.0,5.16,115562.58
11,RE_ENTRY,DOUBLE_TOP,2025-08-29 08:00:00,2025-08-31 00:00:00,short,109590.0,109351.0,100,0.1,10959.0,100.0,23.9,18.75,1575.0,0.02,239.0,0.22,0.0,0.0,-1429.18,-120051.54,-1.43,1095.9,0.1,5,0.05,0,0.0,5.15,112687.78
