2026-09-26,05:30:00,83894.5,83899.0,83891.5,83891.5,1554.0
2026-09-26,05:31:00,83891.5,83891.5,83880.0,83880.0,1237.0
2026-09-26,05:32:00,83880.0,83880.5,83870.5,83871.0,1248.0
2026-09-26,05:33:00,83871.0,83871.0,83858.5,83859.0,2246.0
2026-09-26,05:34:00,83859.0,83859.0,83858.5,83858.5,1300.0
2026-09-26,05:35:00,83858.5,83859.0,83858.5,83858.5,1840.0
2026-09-26,05:36:00,83858.5,83859.0,83855.0,83855.5,1956.0
2026-09-26,05:37:00,83855.0,83880.5,83855.0,83880.0,4295.0
2026-09-26,05:38:00,83880.5,83917.0,83880.0,83916.5,3242.0
2026-09-26,05:39:00,83917.0,83929.0,83916.5,83922.5,1663.0
2026-09-26,05:40:00,83922.5,83923.0,83913.5,83918.0,2210.0
2026-09-26,05:41:00,83923.0,83926.0,83923.0,83925.5,594.0
2026-09-26,05:42:00,83926.0,83926.0,83925.5,83925.5,820.0
2026-09-26,05:43:00,83926.0,83926.0,83925.5,83926.0,512.0
2026-09-26,05:44:00,83926.0,83926.0,83925.5,83926.0,831.0
2026-09-26,05:45:00,83929.0,83937.0,83929.0,83936.5,1747.0
2026-09-26,05:46:00,83936.5,83949.5,83936.0,83949.5,828.0
2026-09-26,05:47:00,83949.0,83951.5,83940.5,83941.0,2294.0
2026-09-26,05:48:00,83945.0,83945.0,83944.5,83944.5,578.0
2026-09-26,05:49:00,83945.0,83945.0,83944.5,83944.5,483.0
2026-09-26,05:50:00,83945.0,83945.0,83944.5,83945.0,1173.0
2026-09-26,05:51:00,83944.5,83945.0,83898.0,83898.0,2706.0
2026-09-26,05:52:00,83898.0,83898.5,83898.0,83898.5,1004.0
2026-09-26,05:53:00,83898.5,83898.5,83889.0,83889.5,822.0
2026-09-26,05:54:00,83889.0,83889.0,83869.0,83869.0,2132.0
2026-09-26,05:55:00,83868.5,83882.5,83868.5,83882.5,4326.0
2026-09-26,05:56:00,83882.0,83890.5,83882.0,83890.5,2989.0
2026-09-26,05:57:00,83890.5,83890.5,83885.5,83886.0,733.0
2026-09-26,05:58:00,83880.5,83897.0,83870.0,83890.5,1908.0
2026-09-26,05:59:00,83890.5,83894.5,83888.0,83894.5,854.0
2026-09-26,06:00:00,83894.0,83897.0,83890.0,83897.0,2124.0
2026-09-26,06:01:00,83897.0,83897.0,83892.5,83892.5,725.0
2026-09-26,06:02:00,83892.5,83892.5,83858.0,83858.0,3996.0
2026-09-26,06:03:00,83858.0,83865.0,83858.0,83865.0,927.0
2026-09-26,06:04:00,83865.0,83898.5,83858.5,83898.5,3093.0
2026-09-26,06:05:00,83898.5,83898.5,83892.5,83896.5,439.0
2026-09-26,06:06:00,83897.0,83897.0,83896.5,83897.0,1094.0
2026-09-26,06:07:00,83897.0,83897.0,83888.0,83888.0,471.0
2026-09-26,06:08:00,83888.0,83888.0,83869.5,83869.5,1439.0
2026-09-26,06:09:00,83870.0,83891.5,83869.5,83891.5,610.0
2026-09-26,06:10:00,83897.5,83898.0,83893.5,83893.5,591.0
2026-09-26,06:11:00,83894.0,83894.0,83893.5,83894.0,218.0
2026-09-26,06:12:00,83894.0,83894.0,83893.5,83893.5,1364.0
2026-09-26,06:13:00,83891.0,83891.0,83877.0,83877.0,973.0
2026-09-26,06:14:00,83877.0,83877.0,83860.0,83860.0,592.0
2026-09-26,06:15:00,83860.0,83875.0,83860.0,83871.0,1053.0
2026-09-26,06:16:00,83871.0,83871.0,83866.0,83866.0,810.0
2026-09-26,06:17:00,83866.0,83866.5,83836.5,83837.0,8320.0
2026-09-26,06:18:00,83839.5,83852.5,83839.0,83852.5,2526.0
2026-09-26,06:19:00,83852.0,83877.5,83852.0,83877.5,1166.0
2026-09-26,06:20:00,83877.5,83877.5,83877.0,83877.0,1300.0
2026-09-26,06:21:00,83877.5,83877.5,83877.0,83877.5,640.0
2026-09-26,06:22:00,83877.5,83890.5,83877.0,83890.0,2943.0
2026-09-26,06:23:00,83890.0,83890.0,83875.0,83875.0,2046.0
