trade_number,entry_type,exit_type,entry_datetime,exit_datetime,direction,entry_price,exit_price,size_qty,actual_quantity,size_value,lot_notional_usd,gross_pnl,net_pnl,net_pnl_inr,net_pnl_pct,favorable_excursion,favorable_excursion_pct,adverse_excursion,adverse_excursion_pct,cumulative_pnl,cumulative_pnl_inr,cumulative_pnl_pct,margin_required,taker_fees_usd,slippage_usd,slippage_applied,funding_usd,insurance_usd,tax_usd,total_charges_usd,stop_loss
1,SELL,ST_FLIP_GREEN,2026-05-26T14:00:00,2026-05-31T02:00:00,short,76507,74107,100,0.1,7650.7,100.0,240,229.89,19310.76,0.23,2400,3.14,0,0.0,229.89,19310.76,0.23,765.07,0.1,10,5.0,0.01,0,0.0,10.11,76907
2,BUY,ST_FLIP_RED,2026-05-31T02:00:00,2026-06-01T06:00:00,long,74107,72907,100,0.1,7410.7,100.0,-120,-130.11,-10929.24,-0.13,0,0.0,1200,1.62,99.78,8381.52,0.1,741.07,0.1,10,5.0,0.01,0,0.0,10.11,73707
3,SELL,ST_FLIP_GREEN,2026-06-01T06:00:00,2026-06-03T04:00:00,short,72907,66907,100,0.1,7290.7,100.0,600,589.89,49550.76,0.59,6000,8.23,0,0.0,689.67,57932.28,0.69,729.07,0.1,10,5.0,0.01,0,0.0,10.11,73307
4,BUY,ST_FLIP_RED,2026-06-03T04:00:00,2026-06-03T14:00:00,long,66907,66307,100,0.1,6690.7,100.0,-60,-70.11,-5889.24,-0.07,0,0.0,600,0.9,619.56,52043.04,0.62,669.07,0.1,10,5.0,0.01,0,0.0,10.11,66507
5,SELL,ST_FLIP_GREEN,2026-06-03T14:00:00,2026-06-04T02:00:00,short,66307,63307,100,0.1,6630.7,100.0,300,289.89,24350.76,0.29,3000,4.52,0,0.0,909.45,76393.8,0.91,663.07,0.1,10,5.0,0.01,0,0.0,10.11,66707
6,BUY,ST_FLIP_RED,2026-06-04T02:00:00,2026-06-04T08:00:00,long,63307,63507,100,0.1,6330.7,100.0,20,9.89,830.76,0.01,200,0.32,0,0.0,919.34,77224.56,0.92,633.07,0.1,10,5.0,0.01,0,0.0,10.11,62907
7,SELL,ST_FLIP_GREEN,2026-06-04T08:00:00,2026-06-04T12:00:00,short,63507,63707,100,0.1,6350.7,100.0,-20,-30.11,-2529.24,-0.03,0,0.0,200,0.31,889.23,74695.32,0.89,635.07,0.1,10,5.0,0.01,0,0.0,10.11,63907
8,BUY,ST_FLIP_RED,2026-06-04T12:00:00,2026-06-04T20:00:00,long,63707,63307,100,0.1,6370.7,100.0,-40,-50.11,-4209.24,-0.05,0,0.0,400,0.63,839.12,70486.08,0.84,637.07,0.1,10,5.0,0.01,0,0.0,10.11,63307
9,SELL,ST_FLIP_GREEN,2026-06-04T20:00:00,2026-06-05T20:00:00,short,63307,61307,100,0.1,6330.7,100.0,200,189.89,15950.76,0.19,2000,3.16,0,0.0,1029.01,86436.84,1.03,633.07,0.1,10,5.0,0.01,0,0.0,10.11,63707
10,BUY,ST_FLIP_RED,2026-06-05T20:00:00,2026-06-06T02:00:00,long,61307,60707,100,0.1,6130.7,100.0,-60,-70.11,-5889.24,-0.07,0,0.0,600,0.98,958.9,80547.6,0.96,613.07,0.1,10,5.0,0.01,0,0.0,10.11,60907
