trade_number,entry_type,exit_type,entry_datetime,exit_datetime,direction,entry_price,exit_price,size_qty,actual_quantity,size_value,lot_notional_usd,gross_pnl,net_pnl,net_pnl_inr,net_pnl_pct,favorable_excursion,favorable_excursion_pct,adverse_excursion,adverse_excursion_pct,cumulative_pnl,cumulative_pnl_inr,cumulative_pnl_pct,margin_required,taker_fees_usd,slippage_usd,slippage_applied,funding_usd,insurance_usd,tax_usd,total_charges_usd,stop_loss
1,SELL,ST_FLIP_GREEN,2025-07-04T18:00:00,2025-07-10T00:00:00,short,108211,109519,100,0.1,10821.1,100.0,-130.8,-140.91,-11836.44,-0.14,0,0.0,1308,1.21,-140.91,-11836.44,-0.14,1082.11,0.1,10,5.0,0.01,0,0.0,10.11,108865
2,BUY,ST_FLIP_RED,2025-07-10T00:00:00,2025-07-14T20:00:00,long,109519,120637,100,0.1,10951.9,100.0,1111.8,1101.69,92541.96,1.1,11118,10.15,0,0.0,960.78,80705.52,0.96,1095.19,0.1,10,5.0,0.01,0,0.0,10.11,108865
3,SELL,ST_FLIP_GREEN,2025-07-14T20:00:00,2025-07-16T14:00:00,short,120637,118348,100,0.1,12063.7,100.0,228.9,218.79,18378.36,0.22,2289,1.9,0,0.0,1179.57,99083.88,1.18,1206.37,0.1,10,5.0,0.01,0,0.0,10.11,121291
4,BUY,ST_FLIP_RED,2025-07-16T14:00:00,2025-07-17T16:00:00,long,118348,117694,100,0.1,11834.8,100.0,-65.4,-75.51,-6342.84,-0.08,0,0.0,654,0.55,1104.06,92741.04,1.1,1183.48,0.1,10,5.0,0.01,0,0.0,10.11,117694
5,SELL,ST_FLIP_GREEN,2025-07-17T16:00:00,2025-07-17T22:00:00,short,117694,119329,100,0.1,11769.4,100.0,-163.5,-173.61,-14583.24,-0.17,0,0.0,1635,1.39,930.45,78157.8,0.93,1176.94,0.1,10,5.0,0.01,0,0.0,10.11,118348
6,BUY,ST_FLIP_RED,2025-07-17T22:00:00,2025-07-18T18:00:00,long,119329,118348,100,0.1,11932.9,100.0,-98.1,-108.21,-9089.64,-0.11,0,0.0,981,0.82,822.24,69068.16,0.82,1193.29,0.1,10,5.0,0.01,0,0.0,10.11,118675
7,SELL,ST_FLIP_GREEN,2025-07-18T18:00:00,2025-07-21T10:00:00,short,118348,118675,100,0.1,11834.8,100.0,-32.7,-42.81,-3596.04,-0.04,0,0.0,327,0.28,779.43,65472.12,0.78,1183.48,0.1,10,5.0,0.01,0,0.0,10.11,119002
8,BUY,ST_FLIP_RED,2025-07-21T10:00:00,2025-07-22T08:00:00,long,118675,117040,100,0.1,11867.5,100.0,-163.5,-173.61,-14583.24,-0.17,0,0.0,1635,1.38,605.82,50888.88,0.61,1186.75,0.1,10,5.0,0.01,0,0.0,10.11,118021
9,SELL,ST_FLIP_GREEN,2025-07-22T08:00:00,2025-07-22T16:00:00,short,117040,119002,100,0.1,11704.0,100.0,-196.2,-206.31,-17330.04,-0.21,0,0.0,1962,1.68,399.51,33558.84,0.4,1170.4,0.1,10,5.0,0.01,0,0.0,10.11,117694
10,BUY,ST_FLIP_RED,2025-07-22T16:00:00,2025-07-23T18:00:00,long,119002,118021,100,0.1,11900.2,100.0,-98.1,-108.21,-9089.64,-0.11,0,0.0,981,0.82,291.3,24469.2,0.29,1190.02,0.1,10,5.0,0.01,0,0.0,10.11,118348
11,SELL,ST_FLIP_GREEN,2025-07-23T18:00:00,2025-07-26T02:00:00,short,118021,117040,100,0.1,11802.1,100.0,98.1,87.99,7391.16,0.09,981,0.83,0,0.0,379.29,31860.36,0.38,1180.21,0.1,10,5.0,0.01,0,0.0,10.11,118675
12,BUY,ST_FLIP_RED,2025-07-26T02:00:00,2025-07-28T22:00:00,long,117040,118021,100,0.1,11704.0,100.0,98.1,87.99,7391.16,0.09,981,0.84,0,0.0,467.28,39251.52,0.47,1170.4,0.1,10,5.0,0.01,0,0.0,10.11,116386
13,SELL,ST_FLIP_GREEN,2025-07-28T22:00:00,2025-08-03T22:00:00,short,118021,114097,100,0.1,11802.1,100.0,392.4,382.29,32112.36,0.38,3924,3.32,0,0.0,849.57,71363.88,0.85,1180.21,0.1,10,5.0,0.01,0,0.0,10.11,118675
14,BUY,ST_FLIP_RED,2025-08-03T22:00:00,2025-08-05T18:00:00,long,114097,113443,100,0.1,11409.7,100.0,-65.4,-75.51,-6342.84,-0.08,0,0.0,654,0.57,774.06,65021.04,0.77,1140.97,0.1,10,5.0,0.01,0,0.0,10.11,113443
15,SELL,ST_FLIP_GREEN,2025-08-05T18:00:00,2025-08-06T20:00:00,short,113443,115078,100,0.1,11344.3,100.0,-163.5,-173.61,-14583.24,-0.17,0,0.0,1635,1.44,600.45,50437.8,0.6,1134.43,0.1,10,5.0,0.01,0,0.0,10.11,114097
16,BUY,ST_FLIP_RED,2025-08-06T20:00:00,2025-08-11T16:00:00,long,115078,120310,100,0.1,11507.8,100.0,523.2,513.09,43099.56,0.51,5232,4.55,0,0.0,1113.54,93537.36,1.11,1150.78,0.1,10,5.0,0.01,0,0.0,10.11,114424
17,SELL,ST_FLIP_GREEN,2025-08-11T16:00:00,2025-08-13T14:00:00,short,120310,120310,100,0.1,12031.0,100.0,0.0,-10.11,-849.24,-0.01,0,0.0,0,0.0,1103.43,92688.12,1.1,1203.1,0.1,10,5.0,0.01,0,0.0,10.11,120964
18,BUY,ST_FLIP_RED,2025-08-13T14:00:00,2025-08-14T10:00:00,long,120310,122599,100,0.1,12031.0,100.0,228.9,218.79,18378.36,0.22,2289,1.9,0,0.0,1322.22,111066.48,1.32,1203.1,0.1,10,5.0,0.01,0,0.0,10.11,119656
19,SELL,ST_FLIP_GREEN,2025-08-14T10:00:00,2025-08-19T02:00:00,short,122599,116713,100,0.1,12259.9,100.0,588.6,578.49,48593.16,0.58,5886,4.8,0,0.0,1900.71,159659.64,1.9,1225.99,0.1,10,5.0,0.01,0,0.0,10.11,123253
20,BUY,ST_FLIP_RED,2025-08-19T02:00:00,2025-08-19T18:00:00,long,116713,114751,100,0.1,11671.3,100.0,-196.2,-206.31,-17330.04,-0.21,0,0.0,1962,1.68,1694.4,142329.6,1.69,1167.13,0.1,10,5.0,0.01,0,0.0,10.11,116059
21,SELL,ST_FLIP_GREEN,2025-08-19T18:00:00,2025-08-22T18:00:00,short,114751,114097,100,0.1,11475.1,100.0,65.4,55.29,4644.36,0.06,654,0.57,0,0.0,1749.69,146973.96,1.75,1147.51,0.1,10,5.0,0.01,0,0.0,10.11,115405
22,BUY,ST_FLIP_RED,2025-08-22T18:00:00,2025-08-23T16:00:00,long,114097,115405,100,0.1,11409.7,100.0,130.8,120.69,10137.96,0.12,1308,1.15,0,0.0,1870.38,157111.92,1.87,1140.97,0.1,10,5.0,0.01,0,0.0,10.11,113443
23,SELL,ST_FLIP_GREEN,2025-08-23T16:00:00,2025-08-27T00:00:00,short,115405,111481,100,0.1,11540.5,100.0,392.4,382.29,32112.36,0.38,3924,3.4,0,0.0,2252.67,189224.28,2.25,1154.05,0.1,10,5.0,0.01,0,0.0,10.11,116059
24,BUY,ST_FLIP_RED,2025-08-27T00:00:00,2025-08-29T12:00:00,long,111481,110827,100,0.1,11148.1,100.0,-65.4,-75.51,-6342.84,-0.08,0,0.0,654,0.59,2177.16,182881.44,2.18,1114.81,0.1,10,5.0,0.01,0,0.0,10.11,110827
25,SELL,ST_FLIP_GREEN,2025-08-29T12:00:00,2025-09-01T12:00:00,short,110827,109519,100,0.1,11082.7,100.0,130.8,120.69,10137.96,0.12,1308,1.18,0,0.0,2297.85,193019.4,2.3,1108.27,0.1,10,5.0,0.01,0,0.0,10.11,111481
26,BUY,ST_FLIP_RED,2025-09-01T12:00:00,2025-09-04T20:00:00,long,109519,109846,100,0.1,10951.9,100.0,32.7,22.59,1897.56,0.02,327,0.3,0,0.0,2320.44,194916.96,2.32,1095.19,0.1,10,5.0,0.01,0,0.0,10.11,108865
27,SELL,ST_FLIP_GREEN,2025-09-04T20:00:00,2025-09-05T10:00:00,short,109846,111481,100,0.1,10984.6,100.0,-163.5,-173.61,-14583.24,-0.17,0,0.0,1635,1.49,2146.83,180333.72,2.15,1098.46,0.1,10,5.0,0.01,0,0.0,10.11,110500
28,BUY,ST_FLIP_RED,2025-09-05T10:00:00,2025-09-05T18:00:00,long,111481,110827,100,0.1,11148.1,100.0,-65.4,-75.51,-6342.84,-0.08,0,0.0,654,0.59,2071.32,173990.88,2.07,1114.81,0.1,10,5.0,0.01,0,0.0,10.11,110827
