trade_number,entry_type,exit_type,entry_datetime,exit_datetime,direction,entry_price,exit_price,size_qty,actual_quantity,size_value,lot_notional_usd,gross_pnl,net_pnl,net_pnl_inr,net_pnl_pct,favorable_excursion,favorable_excursion_pct,adverse_excursion,adverse_excursion_pct,cumulative_pnl,cumulative_pnl_inr,cumulative_pnl_pct,margin_required,taker_fees_usd,slippage_usd,slippage_applied,funding_usd,insurance_usd,tax_usd,total_charges_usd,stop_loss
1,SELL,ST_FLIP_GREEN,2025-07-04T18:00:00,2025-07-06T18:00:00,short,108571,108571,100,0.1,10857.1,100.0,0.0,-10.11,-849.24,-0.01,0,0.0,0,0.0,-10.11,-849.24,-0.01,1085.71,0.1,10,5.0,0.01,0,0.0,10.11,108943
2,BUY,ST_FLIP_RED,2025-07-06T18:00:00,2025-07-07T18:00:00,long,108571,108385,100,0.1,10857.1,100.0,-18.6,-28.71,-2411.64,-0.03,0,0.0,186,0.17,-38.82,-3260.88,-0.04,1085.71,0.1,10,5.0,0.01,0,0.0,10.11,108199
3,SELL,ST_FLIP_GREEN,2025-07-07T18:00:00,2025-07-08T04:00:00,short,108385,108571,100,0.1,10838.5,100.0,-18.6,-28.71,-2411.64,-0.03,0,0.0,186,0.17,-67.53,-5672.52,-0.07,1083.85,0.1,10,5.0,0.01,0,0.0,10.11,108757
4,BUY,ST_FLIP_RED,2025-07-08T04:00:00,2025-07-11T20:00:00,long,108571,117127,100,0.1,10857.1,100.0,855.6,845.49,71021.16,0.85,8556,7.88,0,0.0,777.96,65348.64,0.78,1085.71,0.1,10,5.0,0.01,0,0.0,10.11,108199
5,SELL,ST_FLIP_GREEN,2025-07-11T20:00:00,2025-07-12T00:00:00,short,117127,118057,100,0.1,11712.7,100.0,-93.0,-103.11,-8661.24,-0.1,0,0.0,930,0.79,674.85,56687.4,0.67,1171.27,0.1,10,5.0,0.01,0,0.0,10.11,117499
6,BUY,ST_FLIP_RED,2025-07-12T00:00:00,2025-07-14T02:00:00,long,118057,118243,100,0.1,11805.7,100.0,18.6,8.49,713.16,0.01,186,0.16,0,0.0,683.34,57400.56,0.68,1180.57,0.1,10,5.0,0.01,0,0.0,10.11,117685
7,SELL,ST_FLIP_GREEN,2025-07-14T02:00:00,2025-07-14T04:00:00,short,118243,119173,100,0.1,11824.3,100.0,-93.0,-103.11,-8661.24,-0.1,0,0.0,930,0.79,580.23,48739.32,0.58,1182.43,0.1,10,5.0,0.01,0,0.0,10.11,118615
8,BUY,ST_FLIP_RED,2025-07-14T04:00:00,2025-07-14T20:00:00,long,119173,121405,100,0.1,11917.3,100.0,223.2,213.09,17899.56,0.21,2232,1.87,0,0.0,793.32,66638.88,0.79,1191.73,0.1,10,5.0,0.01,0,0.0,10.11,118801
9,SELL,ST_FLIP_GREEN,2025-07-14T20:00:00,2025-07-16T02:00:00,short,121405,117499,100,0.1,12140.5,100.0,390.6,380.49,31961.16,0.38,3906,3.22,0,0.0,1173.81,98600.04,1.17,1214.05,0.1,10,5.0,0.01,0,0.0,10.11,121777
10,BUY,ST_FLIP_RED,2025-07-16T02:00:00,2025-07-17T06:00:00,long,117499,118429,100,0.1,11749.9,100.0,93.0,82.89,6962.76,0.08,930,0.79,0,0.0,1256.7,105562.8,1.26,1174.99,0.1,10,5.0,0.01,0,0.0,10.11,117127
11,SELL,ST_FLIP_GREEN,2025-07-17T06:00:00,2025-07-17T18:00:00,short,118429,118429,100,0.1,11842.9,100.0,0.0,-10.11,-849.24,-0.01,0,0.0,0,0.0,1246.59,104713.56,1.25,1184.29,0.1,10,5.0,0.01,0,0.0,10.11,118801
12,BUY,ST_FLIP_RED,2025-07-17T18:00:00,2025-07-18T12:00:00,long,118429,119173,100,0.1,11842.9,100.0,74.4,64.29,5400.36,0.06,744,0.63,0,0.0,1310.88,110113.92,1.31,1184.29,0.1,10,5.0,0.01,0,0.0,10.11,118057
13,SELL,ST_FLIP_GREEN,2025-07-18T12:00:00,2025-07-19T02:00:00,short,119173,118057,100,0.1,11917.3,100.0,111.6,101.49,8525.16,0.1,1116,0.94,0,0.0,1412.37,118639.08,1.41,1191.73,0.1,10,5.0,0.01,0,0.0,10.11,119545
14,BUY,ST_FLIP_RED,2025-07-19T02:00:00,2025-07-21T02:00:00,long,118057,117685,100,0.1,11805.7,100.0,-37.2,-47.31,-3974.04,-0.05,0,0.0,372,0.32,1365.06,114665.04,1.37,1180.57,0.1,10,5.0,0.01,0,0.0,10.11,117685
15,SELL,ST_FLIP_GREEN,2025-07-21T02:00:00,2025-07-21T06:00:00,short,117685,117871,100,0.1,11768.5,100.0,-18.6,-28.71,-2411.64,-0.03,0,0.0,186,0.16,1336.35,112253.4,1.34,1176.85,0.1,10,5.0,0.01,0,0.0,10.11,118057
16,BUY,ST_FLIP_RED,2025-07-21T06:00:00,2025-07-21T20:00:00,long,117871,118243,100,0.1,11787.1,100.0,37.2,27.09,2275.56,0.03,372,0.32,0,0.0,1363.44,114528.96,1.36,1178.71,0.1,10,5.0,0.01,0,0.0,10.11,117499
17,SELL,ST_FLIP_GREEN,2025-07-21T20:00:00,2025-07-22T10:00:00,short,118243,117871,100,0.1,11824.3,100.0,37.2,27.09,2275.56,0.03,372,0.31,0,0.0,1390.53,116804.52,1.39,1182.43,0.1,10,5.0,0.01,0,0.0,10.11,118615
18,BUY,ST_FLIP_RED,2025-07-22T10:00:00,2025-07-23T10:00:00,long,117871,118801,100,0.1,11787.1,100.0,93.0,82.89,6962.76,0.08,930,0.79,0,0.0,1473.42,123767.28,1.47,1178.71,0.1,10,5.0,0.01,0,0.0,10.11,117499
19,SELL,ST_FLIP_GREEN,2025-07-23T10:00:00,2025-07-24T04:00:00,short,118801,118801,100,0.1,11880.1,100.0,0.0,-10.11,-849.24,-0.01,0,0.0,0,0.0,1463.31,122918.04,1.46,1188.01,0.1,10,5.0,0.01,0,0.0,10.11,119173
20,BUY,ST_FLIP_RED,2025-07-24T04:00:00,2025-07-24T10:00:00,long,118801,118057,100,0.1,11880.1,100.0,-74.4,-84.51,-7098.84,-0.08,0,0.0,744,0.63,1378.8,115819.2,1.38,1188.01,0.1,10,5.0,0.01,0,0.0,10.11,118429
21,SELL,ST_FLIP_GREEN,2025-07-24T10:00:00,2025-07-24T20:00:00,short,118057,118801,100,0.1,11805.7,100.0,-74.4,-84.51,-7098.84,-0.08,0,0.0,744,0.63,1294.29,108720.36,1.29,1180.57,0.1,10,5.0,0.01,0,0.0,10.11,118429
22,BUY,ST_FLIP_RED,2025-07-24T20:00:00,2025-07-25T04:00:00,long,118801,118057,100,0.1,11880.1,100.0,-74.4,-84.51,-7098.84,-0.08,0,0.0,744,0.63,1209.78,101621.52,1.21,1188.01,0.1,10,5.0,0.01,0,0.0,10.11,118429
23,SELL,ST_FLIP_GREEN,2025-07-25T04:00:00,2025-07-25T22:00:00,short,118057,116383,100,0.1,11805.7,100.0,167.4,157.29,13212.36,0.16,1674,1.42,0,0.0,1367.07,114833.88,1.37,1180.57,0.1,10,5.0,0.01,0,0.0,10.11,118429
24,BUY,ST_FLIP_RED,2025-07-25T22:00:00,2025-07-28T18:00:00,long,116383,118615,100,0.1,11638.3,100.0,223.2,213.09,17899.56,0.21,2232,1.92,0,0.0,1580.16,132733.44,1.58,1163.83,0.1,10,5.0,0.01,0,0.0,10.11,116011
25,SELL,ST_FLIP_GREEN,2025-07-28T18:00:00,2025-07-29T08:00:00,short,118615,118429,100,0.1,11861.5,100.0,18.6,8.49,713.16,0.01,186,0.16,0,0.0,1588.65,133446.6,1.59,1186.15,0.1,10,5.0,0.01,0,0.0,10.11,118987
26,BUY,ST_FLIP_RED,2025-07-29T08:00:00,2025-07-29T20:00:00,long,118429,117871,100,0.1,11842.9,100.0,-55.8,-65.91,-5536.44,-0.07,0,0.0,558,0.47,1522.74,127910.16,1.52,1184.29,0.1,10,5.0,0.01,0,0.0,10.11,118057
27,SELL,ST_FLIP_GREEN,2025-07-29T20:00:00,2025-07-30T14:00:00,short,117871,118243,100,0.1,11787.1,100.0,-37.2,-47.31,-3974.04,-0.05,0,0.0,372,0.32,1475.43,123936.12,1.48,1178.71,0.1,10,5.0,0.01,0,0.0,10.11,118243
28,BUY,ST_FLIP_RED,2025-07-30T14:00:00,2025-07-31T00:00:00,long,118243,117127,100,0.1,11824.3,100.0,-111.6,-121.71,-10223.64,-0.12,0,0.0,1116,0.94,1353.72,113712.48,1.35,1182.43,0.1,10,5.0,0.01,0,0.0,10.11,117871
29,SELL,ST_FLIP_GREEN,2025-07-31T00:00:00,2025-07-31T04:00:00,short,117127,118057,100,0.1,11712.7,100.0,-93.0,-103.11,-8661.24,-0.1,0,0.0,930,0.79,1250.61,105051.24,1.25,1171.27,0.1,10,5.0,0.01,0,0.0,10.11,117499
30,BUY,ST_FLIP_RED,2025-07-31T04:00:00,2025-08-01T00:00:00,long,118057,117499,100,0.1,11805.7,100.0,-55.8,-65.91,-5536.44,-0.07,0,0.0,558,0.47,1184.7,99514.8,1.18,1180.57,0.1,10,5.0,0.01,0,0.0,10.11,117685
31,SELL,ST_FLIP_GREEN,2025-08-01T00:00:00,2025-08-01T18:00:00,short,117499,115453,100,0.1,11749.9,100.0,204.6,194.49,16337.16,0.19,2046,1.74,0,0.0,1379.19,115851.96,1.38,1174.99,0.1,10,5.0,0.01,0,0.0,10.11,117871
32,BUY,ST_FLIP_RED,2025-08-01T18:00:00,2025-08-01T22:00:00,long,115453,114709,100,0.1,11545.3,100.0,-74.4,-84.51,-7098.84,-0.08,0,0.0,744,0.64,1294.68,108753.12,1.29,1154.53,0.1,10,5.0,0.01,0,0.0,10.11,115081
33,SELL,ST_FLIP_GREEN,2025-08-01T22:00:00,2025-08-03T06:00:00,short,114709,113407,100,0.1,11470.9,100.0,130.2,120.09,10087.56,0.12,1302,1.14,0,0.0,1414.77,118840.68,1.41,1147.09,0.1,10,5.0,0.01,0,0.0,10.11,115081
34,BUY,ST_FLIP_RED,2025-08-03T06:00:00,2025-08-05T08:00:00,long,113407,114337,100,0.1,11340.7,100.0,93.0,82.89,6962.76,0.08,930,0.82,0,0.0,1497.66,125803.44,1.5,1134.07,0.1,10,5.0,0.01,0,0.0,10.11,113035
35,SELL,ST_FLIP_GREEN,2025-08-05T08:00:00,2025-08-06T20:00:00,short,114337,114151,100,0.1,11433.7,100.0,18.6,8.49,713.16,0.01,186,0.16,0,0.0,1506.15,126516.6,1.51,1143.37,0.1,10,5.0,0.01,0,0.0,10.11,114709
36,BUY,ST_FLIP_RED,2025-08-06T20:00:00,2025-08-08T20:00:00,long,114151,116383,100,0.1,11415.1,100.0,223.2,213.09,17899.56,0.21,2232,1.96,0,0.0,1719.24,144416.16,1.72,1141.51,0.1,10,5.0,0.01,0,0.0,10.11,113779
37,SELL,ST_FLIP_GREEN,2025-08-08T20:00:00,2025-08-09T14:00:00,short,116383,117127,100,0.1,11638.3,100.0,-74.4,-84.51,-7098.84,-0.08,0,0.0,744,0.64,1634.73,137317.32,1.63,1163.83,0.1,10,5.0,0.01,0,0.0,10.11,116755
38,BUY,ST_FLIP_RED,2025-08-09T14:00:00,2025-08-10T04:00:00,long,117127,116569,100,0.1,11712.7,100.0,-55.8,-65.91,-5536.44,-0.07,0,0.0,558,0.48,1568.82,131780.88,1.57,1171.27,0.1,10,5.0,0.01,0,0.0,10.11,116755
39,SELL,ST_FLIP_GREEN,2025-08-10T04:00:00,2025-08-10T08:00:00,short,116569,117685,100,0.1,11656.9,100.0,-111.6,-121.71,-10223.64,-0.12,0,0.0,1116,0.96,1447.11,121557.24,1.45,1165.69,0.1,10,5.0,0.01,0,0.0,10.11,116941
40,BUY,ST_FLIP_RED,2025-08-10T08:00:00,2025-08-10T10:00:00,long,117685,117685,100,0.1,11768.5,100.0,0.0,-10.11,-849.24,-0.01,0,0.0,0,0.0,1437.0,120708.0,1.44,1176.85,0.1,10,5.0,0.01,0,0.0,10.11,117313
41,SELL,ST_FLIP_GREEN,2025-08-10T10:00:00,2025-08-10T18:00:00,short,117685,118615,100,0.1,11768.5,100.0,-93.0,-103.11,-8661.24,-0.1,0,0.0,930,0.79,1333.89,112046.76,1.33,1176.85,0.1,10,5.0,0.01,0,0.0,10.11,118057
42,BUY,ST_FLIP_RED,2025-08-10T18:00:00,2025-08-11T16:00:00,long,118615,121033,100,0.1,11861.5,100.0,241.8,231.69,19461.96,0.23,2418,2.04,0,0.0,1565.58,131508.72,1.57,1186.15,0.1,10,5.0,0.01,0,0.0,10.11,118243
43,SELL,ST_FLIP_GREEN,2025-08-11T16:00:00,2025-08-12T20:00:00,short,121033,119545,100,0.1,12103.3,100.0,148.8,138.69,11649.96,0.14,1488,1.23,0,0.0,1704.27,143158.68,1.7,1210.33,0.1,10,5.0,0.01,0,0.0,10.11,121405
44,BUY,ST_FLIP_RED,2025-08-12T20:00:00,2025-08-14T06:00:00,long,119545,123265,100,0.1,11954.5,100.0,372.0,361.89,30398.76,0.36,3720,3.11,0,0.0,2066.16,173557.44,2.07,1195.45,0.1,10,5.0,0.01,0,0.0,10.11,119173
45,SELL,ST_FLIP_GREEN,2025-08-14T06:00:00,2025-08-15T06:00:00,short,123265,118615,100,0.1,12326.5,100.0,465.0,454.89,38210.76,0.45,4650,3.77,0,0.0,2521.05,211768.2,2.52,1232.65,0.1,10,5.0,0.01,0,0.0,10.11,123637
46,BUY,ST_FLIP_RED,2025-08-15T06:00:00,2025-08-15T18:00:00,long,118615,118057,100,0.1,11861.5,100.0,-55.8,-65.91,-5536.44,-0.07,0,0.0,558,0.47,2455.14,206231.76,2.46,1186.15,0.1,10,5.0,0.01,0,0.0,10.11,118243
