REAL DELTA FILLS-BASED REPORT: 2026-08-21 to 2026-09-26 (UTC)

=== DATE: 2026-08-21 ===

S4 | BT trades: 7 | LIVE trades: 5
| direction | entry BT vs LV (time/price) | exit BT vs LV (time/price) | entry delay | exit delay | net slippage | issue |
| long | NO_BT_SIGNAL vs 06:45/77341.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 06:50/77517.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 06:55/77450.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 07:00/77456.65 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 07:05/77491.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 07:10/77575.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 07:15/77750.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 07:20/77649.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 07:25/77663.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 07:30/77594.72 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 07:35/77491.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 07:40/77467.75 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 07:45/77338.63 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 07:50/77388.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 07:55/77364.59 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 08:00/77332.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 08:00/77330.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 08:05/77286.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 08:10/77341.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 08:15/77234.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 08:20/77125.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 08:25/76936.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 08:30/76897.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 08:35/77022.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 08:40/77098.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 08:45/77130.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 08:50/77123.83 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 08:55/77068.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 09:00/77021.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 09:30/77424.62 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 09:35/77443.59 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 09:40/77500.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 09:45/77471.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 09:50/77511.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 09:55/77577.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 10:00/77557.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 13:30/78990.0 | - | - | - | - | UNMATCHED_LV_TRADE |

=== DATE: 2026-08-25 ===

S4 | BT trades: 3 | LIVE trades: 2
| direction | entry BT vs LV (time/price) | exit BT vs LV (time/price) | entry delay | exit delay | net slippage | issue |
|---|---|---|---|---|---|---|
| short | 08:00/80551 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| long | 16:00/78803 vs 16:00/79473.02 | 18:00/79355 vs 16:00/79447.0 | 9s | -7183s | $-57.8 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| short | 18:00/79355 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| short | NO_BT_SIGNAL vs 08:00/79753.0 | - | - | - | - | UNMATCHED_LV_TRADE |

S4V2 | BT trades: 16 | LIVE trades: 9
| direction | entry BT vs LV (time/price) | exit BT vs LV (time/price) | entry delay | exit delay | net slippage | issue |
|---|---|---|---|---|---|---|
| short | 00:30/78803 vs 00:30/78757.0 | 01:00/78895 vs 00:45/79375.0 | 15s | -873s | $-52.6 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| long | 01:00/78895 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| short | 03:00/80827 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| long | 05:30/80459 vs 05:30/80659.36 | 07:00/80551 vs 07:00/80548.0 | 4s | 6s | $-20.34 | EXIT_DELAY,SLIPPAGE |
| long | 07:30/80689 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| short | 08:00/80551 vs 07:00/80534.0 | 08:30/79769 vs 08:30/80172.0 | -3585s | 5s | $-42.0 | ENTRY_DELAY,SLIPPAGE |
| long | 08:30/79769 vs 08:30/80173.0 | 09:00/80045 vs 09:00/79909.0 | 14s | 44s | $-54.0 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| short | 09:00/79953 vs 09:00/79909.0 | 11:00/79309 vs 10:41/79298.0 | 53s | -1096s | $-3.3 | ENTRY_DELAY,EXIT_DELAY |
| long | 11:00/79309 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| short | 12:30/79033 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| long | 14:30/78803 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| short | 16:30/79263 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| long | 18:00/78987 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| short | 19:30/79033 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| long | 21:30/78343 vs 21:30/78434.49 | 23:30/78711 vs 23:33/78698.0 | 5s | 194s | $-10.45 | EXIT_DELAY,SLIPPAGE |
| short | 23:30/78665 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| long | NO_BT_SIGNAL vs 14:30/79198.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 18:00/79214.52 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 23:33/78693.0 | - | - | - | - | UNMATCHED_LV_TRADE |

=== DATE: 2026-08-26 ===

S4 | BT trades: 3 | LIVE trades: 3
| direction | entry BT vs LV (time/price) | exit BT vs LV (time/price) | entry delay | exit delay | net slippage | issue |
|---|---|---|---|---|---|---|
| long | 02:00/78665 vs 02:00/78818.0 | 08:00/78895 vs 08:00/78888.0 | 5s | 16s | $-16.0 | EXIT_DELAY,SLIPPAGE |
| short | 08:00/78895 vs 08:00/78885.0 | 18:00/78159 vs 18:00/78370.0 | 22s | 33s | $-22.1 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| long | 18:00/78159 vs 18:00/78370.0 | 02:00/78849 vs 02:01/78936.0 | 39s | 84s | $-12.4 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |

S4V2 | BT trades: 18 | LIVE trades: 15
| direction | entry BT vs LV (time/price) | exit BT vs LV (time/price) | entry delay | exit delay | net slippage | issue |
|---|---|---|---|---|---|---|
| long | 01:30/78711 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| short | 03:00/79033 vs 03:00/79073.0 | 05:30/78941 vs 05:30/78976.0 | 5s | 4s | $0.5 | OK |
| long | 05:30/79033 vs 05:30/78958.0 | 06:30/78895 vs 06:30/78860.0 | 13s | 6s | $4.0 | ENTRY_DELAY,EXIT_DELAY |
| short | 06:30/78895 vs 06:30/78875.0 | 08:30/78987 vs 08:30/78961.0 | 14s | 4s | $0.6 | ENTRY_DELAY |
| long | 08:30/78987 vs 08:30/78980.0 | 09:00/78849 vs 09:00/78667.0 | 14s | 6s | $-17.5 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| short | 09:00/78849 vs 09:00/78676.0 | 10:30/78573 vs 10:30/78608.0 | 14s | 6s | $-20.8 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| long | 10:30/78573 vs 10:30/78608.0 | 12:00/78527 vs 12:00/78494.0 | 15s | 7s | $-6.8 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| short | 12:00/78435 vs 12:00/78492.0 | 12:30/78573 vs 12:30/78651.51 | 17s | 5s | $-2.15 | ENTRY_DELAY |
| long | 12:30/78573 vs 12:30/78314.0 | 13:00/78573 vs 13:00/78291.0 | 13s | 9s | $-2.3 | ENTRY_DELAY,EXIT_DELAY |
| short | 13:00/78527 vs 13:00/78310.0 | 14:00/78159 vs 14:00/78281.0 | 18s | 15s | $-33.9 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| long | 14:00/78159 vs 14:00/78277.0 | 14:30/78297 vs 14:30/78188.0 | 24s | 13s | $-22.7 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| short | 14:30/78205 vs 14:30/78214.81 | 15:30/77929 vs 15:32/78015.0 | 21s | 153s | $-7.62 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| long | 15:30/77929 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| long | 17:30/78113 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| short | 18:00/78389 vs 18:00/78389.0 | 19:30/78527 vs 19:30/78487.0 | 19s | 23s | $4.0 | ENTRY_DELAY,EXIT_DELAY |
| long | 19:30/78527 vs 19:30/78498.48 | 20:30/78389 vs 20:32/78320.0 | 32s | 168s | $-4.05 | ENTRY_DELAY,EXIT_DELAY |
| short | 20:30/78389 vs 20:32/78311.0 | 21:30/78481 vs 21:30/78696.0 | 178s | 23s | $-29.3 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| long | 21:30/78573 vs 21:30/78684.0 | 00:30/78849 vs 00:30/78860.0 | 33s | 22s | $-10.0 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |

=== DATE: 2026-08-27 ===

S4 | BT trades: 6 | LIVE trades: 4
| direction | entry BT vs LV (time/price) | exit BT vs LV (time/price) | entry delay | exit delay | net slippage | issue |
|---|---|---|---|---|---|---|
| short | 02:00/78849 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| long | 10:00/79125 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| short | 12:00/79815 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| long | 16:00/79585 vs 16:00/80322.0 | 20:00/80275 vs 20:00/79904.0 | 25s | 8s | $-110.8 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| short | 20:00/80275 vs 20:00/79904.0 | 22:00/79999 vs 22:00/80197.0 | 14s | 30s | $-56.9 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| long | 22:00/79999 vs 22:00/80192.0 | 04:00/80321 vs 03:01/79868.0 | 37s | -3486s | $-64.6 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| short | NO_BT_SIGNAL vs 02:01/78908.0 | - | - | - | - | UNMATCHED_LV_TRADE |

S4V2 | BT trades: 16 | LIVE trades: 10
| direction | entry BT vs LV (time/price) | exit BT vs LV (time/price) | entry delay | exit delay | net slippage | issue |
|---|---|---|---|---|---|---|
| short | 00:30/78849 vs 00:30/78854.0 | 01:30/78803 vs 01:31/78917.0 | 31s | 73s | $-10.9 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| long | 01:30/78895 vs 01:31/78922.0 | 02:30/78803 vs 02:31/78736.81 | 86s | 102s | $-9.32 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| short | 02:30/78803 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| long | 03:30/78895 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| short | 04:30/78757 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| long | 06:00/78849 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| short | 06:30/78803 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| long | 07:00/78803 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| short | 10:00/80321 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| long | 14:00/79401 vs 13:32/79124.98 | 16:00/80413 vs 16:00/80307.0 | -1625s | 8s | $17.0 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| short | 16:00/80413 vs 16:00/80330.0 | 16:30/80413 vs 16:30/80355.0 | 16s | 5s | $-2.5 | ENTRY_DELAY |
| long | 17:30/80551 vs 17:30/80700.95 | 18:00/80551 vs 18:00/80425.0 | 4s | 11s | $-27.59 | EXIT_DELAY,SLIPPAGE |
| short | 18:00/80551 vs 18:00/80425.0 | 19:00/80045 vs 19:00/80126.2 | 20s | 6s | $-20.72 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| long | 19:00/80045 vs 19:00/80117.0 | 20:00/79999 vs 20:00/79904.0 | 15s | 4s | $-16.7 | ENTRY_DELAY,SLIPPAGE |
| short | 20:00/79907 vs 20:00/79904.0 | 20:30/79999 vs 20:30/79965.14 | 14s | 8s | $3.09 | ENTRY_DELAY,EXIT_DELAY |
| long | 20:30/79999 vs 20:30/79965.0 | 02:00/80965 vs 02:00/80478.0 | 17s | 5s | $-45.3 | ENTRY_DELAY,SLIPPAGE |
| short | NO_BT_SIGNAL vs 02:31/78736.62 | - | - | - | - | UNMATCHED_LV_TRADE |

=== DATE: 2026-08-28 ===

S4 | BT trades: 4 | LIVE trades: 1
| direction | entry BT vs LV (time/price) | exit BT vs LV (time/price) | entry delay | exit delay | net slippage | issue |
|---|---|---|---|---|---|---|
| short | 04:00/80321 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| long | 12:00/79401 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| short | 14:00/79355 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| long | 00:00/77515 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| short | NO_BT_SIGNAL vs 03:02/78997.15 | - | - | - | - | UNMATCHED_LV_TRADE |

S4V2 | BT trades: 15 | LIVE trades: 8
| direction | entry BT vs LV (time/price) | exit BT vs LV (time/price) | entry delay | exit delay | net slippage | issue |
|---|---|---|---|---|---|---|
| short | 02:00/80965 vs 02:00/80434.0 | 06:30/79769 vs 06:30/79811.0 | 16s | 13s | $-57.3 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| long | 06:30/79769 vs 06:30/79811.0 | 08:00/79723 vs 08:00/79689.0 | 23s | 23s | $-7.6 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| long | 08:30/79769 vs 08:30/79762.0 | 09:00/79631 vs 09:00/79493.0 | 27s | 5s | $-13.1 | ENTRY_DELAY,SLIPPAGE |
| short | 09:00/79539 vs 09:00/79491.0 | 11:00/79401 vs 11:00/79546.0 | 14s | 23s | $-19.3 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| long | 11:00/79401 vs 11:00/79530.0 | 12:30/79493 vs 12:30/79490.8 | 32s | 5s | $-13.12 | ENTRY_DELAY,SLIPPAGE |
| short | 13:00/79401 vs 13:00/79375.0 | 14:00/79309 vs 14:00/79294.41 | 4s | 5s | $-1.14 | OK |
| long | 14:00/79309 vs 14:00/79373.42 | 14:30/79171 vs 14:30/78928.0 | 15s | 6s | $-30.74 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| short | 14:30/79171 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| long | 15:00/79033 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| short | 15:30/79355 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| long | 17:00/77699 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| short | 18:30/77561 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| long | 19:30/77699 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| short | 20:00/77515 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| long | 22:30/77515 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| short | NO_BT_SIGNAL vs 14:30/78895.0 | - | - | - | - | UNMATCHED_LV_TRADE |

=== DATE: 2026-08-29 ===

S4 | BT trades: 2 | LIVE trades: 0
| direction | entry BT vs LV (time/price) | exit BT vs LV (time/price) | entry delay | exit delay | net slippage | issue |
|---|---|---|---|---|---|---|
| short | 04:00/77653 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| long | 06:00/77607 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |

S4V2 | BT trades: 5 | LIVE trades: 3
| direction | entry BT vs LV (time/price) | exit BT vs LV (time/price) | entry delay | exit delay | net slippage | issue |
|---|---|---|---|---|---|---|
| short | 02:30/77653 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| short | 06:30/77515 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| long | 07:30/77515 vs 07:30/77336.95 | 15:30/77837 vs 15:30/77866.0 | 4s | 5s | $20.71 | SLIPPAGE |
| long | 16:30/77975 vs 16:30/77935.03 | 21:00/78067 vs 21:00/78104.0 | 4s | 9s | $7.7 | EXIT_DELAY,SLIPPAGE |
| short | 21:00/78067 vs 21:00/78104.0 | 23:00/78205 vs 23:00/78219.0 | 18s | 19s | $2.3 | ENTRY_DELAY,EXIT_DELAY |

=== DATE: 2026-08-30 ===

S4 | BT trades: 4 | LIVE trades: 4
| direction | entry BT vs LV (time/price) | exit BT vs LV (time/price) | entry delay | exit delay | net slippage | issue |
|---|---|---|---|---|---|---|
| short | 02:00/78067 vs 02:00/78061.0 | 06:00/78159 vs 06:00/78121.0 | 30s | 6s | $3.2 | ENTRY_DELAY,EXIT_DELAY |
| short | 10:00/78021 vs 10:00/77969.0 | 12:00/78067 vs 12:00/78159.31 | 6s | 9s | $-14.43 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| long | 12:00/78113 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| short | 20:00/78849 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| long | NO_BT_SIGNAL vs 12:00/78159.31 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 20:00/78849.0 | - | - | - | - | UNMATCHED_LV_TRADE |

S4V2 | BT trades: 6 | LIVE trades: 6
| direction | entry BT vs LV (time/price) | exit BT vs LV (time/price) | entry delay | exit delay | net slippage | issue |
|---|---|---|---|---|---|---|
| short | 01:30/78067 vs 01:30/78005.0 | 03:00/78113 vs 03:00/78084.0 | 14s | 10s | $-3.3 | ENTRY_DELAY,EXIT_DELAY |
| long | 07:00/78205 vs 07:00/78261.15 | 08:00/78113 vs 08:00/78091.81 | 22s | 6s | $-7.73 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| short | 08:00/78113 vs 08:00/78094.0 | 11:00/78113 vs 11:00/78134.75 | 14s | 22s | $-4.08 | ENTRY_DELAY,EXIT_DELAY |
| long | 11:00/78159 vs 11:00/78134.75 | 17:30/79171 vs 17:30/78863.0 | 30s | 24s | $-28.38 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| short | 17:30/79171 vs 17:30/78875.0 | 18:00/79033 vs 18:00/79016.0 | 37s | 4s | $-27.9 | ENTRY_DELAY,SLIPPAGE |
| short | 19:30/78895 vs 19:30/78885.0 | 00:30/77791 vs 00:30/77868.0 | 6s | 9s | $-8.7 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |

=== DATE: 2026-08-31 ===

S4 | BT trades: 4 | LIVE trades: 0
| direction | entry BT vs LV (time/price) | exit BT vs LV (time/price) | entry delay | exit delay | net slippage | issue |
|---|---|---|---|---|---|---|
| long | 06:00/77791 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| short | 12:00/78343 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| long | 16:00/78021 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| short | 00:00/78757 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |

S4V2 | BT trades: 16 | LIVE trades: 4
| direction | entry BT vs LV (time/price) | exit BT vs LV (time/price) | entry delay | exit delay | net slippage | issue |
|---|---|---|---|---|---|---|
| long | 00:30/77791 vs 00:30/77871.0 | 01:30/77745 vs 01:30/77748.0 | 18s | 4s | $-7.7 | ENTRY_DELAY,SLIPPAGE |
| long | 02:30/77791 vs 02:30/77838.0 | 03:00/77745 vs 03:01/77419.0 | 17s | 88s | $-37.3 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| short | 03:00/77653 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| long | 03:30/77561 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| short | 04:30/77469 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| long | 05:00/77607 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| short | 10:00/78481 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| long | 11:00/78711 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| short | 11:30/78573 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| long | 13:30/78067 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| short | 14:00/77929 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| long | 14:30/77975 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| long | 16:00/78527 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| short | 17:30/78481 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| long | 18:00/78665 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| short | 20:00/78895 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| short | NO_BT_SIGNAL vs 03:02/77482.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 23:22/78524.0 | - | - | - | - | UNMATCHED_LV_TRADE |

=== DATE: 2026-09-01 ===

S4 | BT trades: 5 | LIVE trades: 4
| direction | entry BT vs LV (time/price) | exit BT vs LV (time/price) | entry delay | exit delay | net slippage | issue |
|---|---|---|---|---|---|---|
| long | 04:00/78527 vs 00:39/78769.5 | 08:00/78987 vs 08:00/78631.5 | -12034s | 9s | $-59.8 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| short | 08:00/78987 vs 08:00/78636.0 | 12:00/78021 vs 12:00/78063.5 | 15s | 6s | $-39.35 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| long | 12:00/78021 vs 12:00/78063.5 | 16:00/77929 vs 16:00/77895.0 | 12s | 8s | $-7.65 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| short | 18:00/77791 vs 18:00/77273.0 | 00:00/77331 vs 00:00/77426.5 | 5s | 7s | $-61.35 | EXIT_DELAY,SLIPPAGE |
| long | 00:00/77331 vs 00:00/77426.5 | 02:00/77285 vs 02:00/77006.0 | 13s | 5s | $-37.45 | ENTRY_DELAY,SLIPPAGE |

S4V2 | BT trades: 11 | LIVE trades: 11
| direction | entry BT vs LV (time/price) | exit BT vs LV (time/price) | entry delay | exit delay | net slippage | issue |
|---|---|---|---|---|---|---|
| long | 00:30/78803 vs 00:30/78841.5 | 01:00/78711 vs 01:00/78651.5 | 13s | 8s | $-9.8 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| short | 01:00/78711 vs 01:00/78651.0 | 03:00/78343 vs 03:00/78431.5 | 18s | 4s | $-14.85 | ENTRY_DELAY,SLIPPAGE |
| long | 03:00/78343 vs 03:00/78431.5 | 05:00/78665 vs 05:00/78712.0 | 14s | 5s | $-4.15 | ENTRY_DELAY |
| long | 05:30/78803 vs 05:31/78989.0 | 06:30/78987 vs 06:30/78869.5 | 103s | 5s | $-30.35 | ENTRY_DELAY,SLIPPAGE |
| short | 06:30/78987 vs 06:30/78873.0 | 10:30/78021 vs 10:30/78008.5 | 14s | 5s | $-10.15 | ENTRY_DELAY,SLIPPAGE |
| long | 10:30/78021 vs 10:30/78008.5 | 13:30/77883 vs 13:30/77885.5 | 14s | 4s | $1.5 | ENTRY_DELAY |
| long | 14:00/77975 vs 14:00/78079.4 | 15:30/78067 vs 15:30/77846.5 | 5s | 6s | $-32.49 | EXIT_DELAY,SLIPPAGE |
| short | 15:30/77975 vs 15:30/77830.5 | 19:30/77193 vs 19:30/77313.0 | 14s | 8s | $-26.45 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| long | 19:30/77193 vs 19:30/77357.51 | 21:30/77285 vs 21:30/77144.955 | 16s | 7s | $-30.46 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| short | 21:30/77147 vs 21:30/77138.96 | 23:00/77193 vs 23:00/77251.0 | 15s | 5s | $-6.6 | ENTRY_DELAY,SLIPPAGE |
| long | 23:00/77193 vs 23:00/77227.0 | 00:30/77239 vs 00:30/77236.41 | 14s | 4s | $-3.66 | ENTRY_DELAY |

=== DATE: 2026-09-02 ===

S4 | BT trades: 4 | LIVE trades: 5
| direction | entry BT vs LV (time/price) | exit BT vs LV (time/price) | entry delay | exit delay | net slippage | issue |
|---|---|---|---|---|---|---|
| short | 02:00/77193 vs 02:00/77008.5 | 04:00/77101 vs 03:00/77297.5 | 11s | -3565s | $-38.1 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| long | 04:00/77101 vs 03:00/77316.0 | 08:00/77469 vs 08:00/77475.5 | -3558s | 8s | $-20.85 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| short | 08:00/77469 vs 08:00/77479.0 | 14:00/76871 vs 14:00/77091.0 | 13s | 5s | $-21.0 | ENTRY_DELAY,SLIPPAGE |
| long | 14:00/76871 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| long | NO_BT_SIGNAL vs 14:00/77101.0 | - | - | - | - | UNMATCHED_LV_TRADE |

S4V2 | BT trades: 17 | LIVE trades: 16
| direction | entry BT vs LV (time/price) | exit BT vs LV (time/price) | entry delay | exit delay | net slippage | issue |
|---|---|---|---|---|---|---|
| short | 00:30/77193 vs 00:30/77230.5 | 02:30/77147 vs 02:30/77284.0 | 12s | 6s | $-9.95 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| long | 02:30/77147 vs 02:30/77272.5 | 04:30/77469 vs 04:30/77428.0 | 16s | 5s | $-16.65 | ENTRY_DELAY,SLIPPAGE |
