trade_number,entry_type,exit_type,entry_datetime,exit_datetime,direction,entry_price,exit_price,size_qty,actual_quantity,size_value,lot_notional_usd,gross_pnl,net_pnl,net_pnl_inr,net_pnl_pct,favorable_excursion,favorable_excursion_pct,adverse_excursion,adverse_excursion_pct,cumulative_pnl,cumulative_pnl_inr,cumulative_pnl_pct,margin_required,taker_fees_usd,slippage_usd,funding_usd,insurance_usd,tax_usd,total_charges_usd,stop_loss
18,RE_ENTRY,SL_HIT_SUPERTREND,2025-10-19 08:00:00,2025-10-19 08:00:00,short,106411.5,107184.0,1,0,106.41,100.0,-0.77,-5.87,-493.29,-0.01,0.0,0.0,772.5,0.73,-108.86,-9144.45,-0.11,10.64,0.1,5,0.0,0,0.0,5.1,101737.79
19,RE_ENTRY,SL_HIT_SUPERTREND,2025-10-31 16:00:00,2025-10-31 16:00:00,short,108824.0,110285.0,1,0,108.82,100.0,-1.46,-6.56,-551.12,-0.01,0.0,0.0,1461.0,1.34,-115.42,-9695.57,-0.12,10.88,0.1,5,0.0,0,0.0,5.1,101737.79
20,RE_ENTRY,SL_HIT_SUPERTREND,2025-11-04 02:00:00,2025-11-04 02:00:00,short,106449.5,107203.5,1,0,106.45,100.0,-0.75,-5.85,-491.74,-0.01,0.0,0.0,754.0,0.71,-121.28,-10187.31,-0.12,10.64,0.1,5,0.0,0,0.0,5.1,101737.79
21,RE_ENTRY,SL_HIT_SUPERTREND,2025-11-04 21:00:00,2025-11-04 22:00:00,short,100284.0,101865.5,1,0,100.28,100.0,-1.58,-6.68,-561.35,-0.01,0.0,0.0,1581.5,1.58,-127.96,-10748.66,-0.13,10.03,0.1,5,0.0,0,0.0,5.1,101737.79
22,RE_ENTRY,SL_HIT_SUPERTREND,2025-11-06 12:00:00,2025-11-06 12:00:00,short,102517.0,103298.5,1,0,102.52,100.0,-0.78,-5.88,-494.05,-0.01,0.0,0.0,781.5,0.76,-133.84,-11242.71,-0.13,10.25,0.1,5,0.0,0,0.0,5.1,101737.79
23,RE_ENTRY,SL_HIT_SUPERTREND,2025-11-07 12:00:00,2025-11-07 17:00:00,short,99618.0,102698.5,1,0,99.62,100.0,-3.08,-8.19,-687.69,-0.01,0.0,0.0,3080.5,3.09,-142.03,-11930.39,-0.14,9.96,0.1,5,0.01,0,0.0,5.11,101737.79
24,RE_ENTRY,SL_HIT_SUPERTREND,2025-11-09 02:00:00,2025-11-09 02:00:00,short,101599.5,102006.0,1,0,101.6,100.0,-0.41,-5.51,-462.55,-0.01,0.0,0.0,406.5,0.4,-147.53,-12392.94,-0.15,10.16,0.1,5,0.0,0,0.0,5.1,101737.79
25,RE_ENTRY,DOUBLE_TOP,2025-11-13 20:00:00,2025-11-15 02:00:00,short,98136.0,96462.5,1,0,98.14,100.0,1.67,-3.46,-290.98,-0.0,1673.5,1.71,0.0,0.0,-151.0,-12683.92,-0.15,9.81,0.1,5,0.04,0,0.0,5.14,101737.79
26,RE_ENTRY,DOUBLE_TOP,2025-11-15 20:00:00,2025-11-16 09:00:00,short,95259.5,96608.0,1,0,95.26,100.0,-1.35,-6.46,-543.04,-0.01,0.0,0.0,1348.5,1.42,-157.46,-13226.95,-0.16,9.53,0.1,5,0.02,0,0.0,5.12,97150.21
27,RE_ENTRY,SL_HIT_SUPERTREND,2025-11-17 13:00:00,2025-11-18 15:00:00,short,93923.5,93000.0,1,0,93.92,100.0,0.92,-4.21,-353.56,-0.0,923.5,0.98,0.0,0.0,-161.67,-13580.51,-0.16,9.39,0.1,5,0.03,0,0.0,5.13,96241.76
