trade_number,entry_type,exit_type,entry_datetime,exit_datetime,direction,entry_price,exit_price,size_qty,actual_quantity,size_value,lot_notional_usd,gross_pnl,net_pnl,net_pnl_inr,net_pnl_pct,favorable_excursion,favorable_excursion_pct,adverse_excursion,adverse_excursion_pct,cumulative_pnl,cumulative_pnl_inr,cumulative_pnl_pct,margin_required,taker_fees_usd,slippage_usd,funding_usd,insurance_usd,tax_usd,total_charges_usd,stop_loss
71,RE_ENTRY,DOUBLE_TOP,2026-02-16 02:00:00,2026-02-16 21:00:00,short,68270.0,69745.5,100,0.1,6827.0,100.0,-147.55,-152.67,-12824.6,-0.15,0.0,0.0,1475.5,2.16,-4815.49,-404500.95,-4.82,682.7,0.1,5,0.02,0,0.0,5.12,70790.5
72,RE_ENTRY,DOUBLE_TOP,2026-02-17 14:00:00,2026-02-20 22:00:00,short,67513.0,68181.5,100,0.1,6751.3,100.0,-66.85,-72.05,-6052.2,-0.07,0.0,0.0,668.5,0.99,-4887.54,-410553.15,-4.89,675.13,0.1,5,0.1,0,0.0,5.2,69745.5
73,RE_ENTRY,DOUBLE_TOP,2026-02-24 05:00:00,2026-02-25 01:00:00,short,64279.5,64401.0,100,0.1,6427.95,100.0,-12.15,-17.27,-1451.1,-0.02,0.0,0.0,121.5,0.19,-4904.81,-412004.25,-4.9,642.8,0.1,5,0.03,0,0.0,5.12,66381.0
74,RE_ENTRY,DOUBLE_TOP,2026-02-26 16:00:00,2026-02-27 13:00:00,short,67806.0,67903.5,100,0.1,6780.6,100.0,-9.75,-14.88,-1249.61,-0.01,0.0,0.0,97.5,0.14,-4919.69,-413253.85,-4.92,678.06,0.1,5,0.03,0,0.0,5.13,68539.5
75,RE_ENTRY,DOUBLE_TOP,2026-02-27 18:00:00,2026-02-28 22:00:00,short,65913.0,65075.5,100,0.1,6591.3,100.0,83.75,78.61,6603.66,0.08,837.5,1.27,0.0,0.0,-4841.07,-406650.19,-4.84,659.13,0.1,5,0.04,0,0.0,5.13,67903.5
76,RE_ENTRY,DOUBLE_TOP,2026-03-01 17:00:00,2026-03-02 10:00:00,short,66278.0,66792.0,100,0.1,6627.8,100.0,-51.4,-56.52,-4747.79,-0.06,0.0,0.0,514.0,0.78,-4897.59,-411397.98,-4.9,662.78,0.1,5,0.02,0,0.0,5.12,67594.5
77,RE_ENTRY,DOUBLE_TOP,2026-03-03 14:00:00,2026-03-03 23:00:00,short,66621.5,68596.0,100,0.1,6662.15,100.0,-197.45,-202.56,-17015.15,-0.2,0.0,0.0,1974.5,2.96,-5100.16,-428413.12,-5.1,666.22,0.1,5,0.01,0,0.0,5.11,69366.0
78,RE_ENTRY,DOUBLE_TOP,2026-03-05 23:00:00,2026-03-08 19:00:00,short,70678.0,67883.5,100,0.1,7067.8,100.0,279.45,274.26,23038.26,0.27,2794.5,3.95,0.0,0.0,-4825.89,-405374.86,-4.83,706.78,0.1,5,0.09,0,0.0,5.18,73357.5
79,RE_ENTRY,DOUBLE_TOP,2026-03-09 06:00:00,2026-03-09 09:00:00,short,65941.5,67875.0,100,0.1,6594.15,100.0,-193.35,-198.45,-16670.12,-0.2,0.0,0.0,1933.5,2.93,-5024.34,-422044.98,-5.02,659.42,0.1,5,0.0,0,0.0,5.1,67305.5
80,RE_ENTRY,DOUBLE_TOP,2026-03-11 03:00:00,2026-03-11 17:00:00,short,69718.5,70543.0,100,0.1,6971.85,100.0,-82.45,-87.57,-7355.67,-0.09,0.0,0.0,824.5,1.18,-5111.91,-429400.65,-5.11,697.19,0.1,5,0.02,0,0.0,5.12,71443.5
