trade_number,entry_type,exit_type,entry_datetime,exit_datetime,direction,entry_price,exit_price,size_qty,actual_quantity,size_value,lot_notional_usd,gross_pnl,net_pnl,net_pnl_inr,net_pnl_pct,favorable_excursion,favorable_excursion_pct,adverse_excursion,adverse_excursion_pct,cumulative_pnl,cumulative_pnl_inr,cumulative_pnl_pct,margin_required,taker_fees_usd,slippage_usd,funding_usd,insurance_usd,tax_usd,total_charges_usd,stop_loss
1,FIRST_ENTRY,DOUBLE_TOP,2025-06-17 16:00:00,2025-06-18 21:00:00,short,103585.5,105051.0,100,0.1,10358.55,100.0,-146.55,-151.69,-12741.65,-0.15,0.0,0.0,1465.5,1.41,-151.69,-12741.65,-0.15,1035.86,0.1,5,0.04,0,0.0,5.14,105535.24
2,RE_ENTRY,SL_HIT_SUPERTREND,2025-06-19 15:00:00,2025-06-20 07:00:00,short,104066.0,105777.5,100,0.1,10406.6,100.0,-171.15,-176.27,-14806.68,-0.18,0.0,0.0,1711.5,1.64,-327.96,-27548.33,-0.33,1040.66,0.1,5,0.02,0,0.0,5.12,105427.91
3,RE_ENTRY,SL_HIT_SUPERTREND,2025-06-20 22:00:00,2025-06-23 05:00:00,short,103067.0,101799.0,100,0.1,10306.7,100.0,126.8,121.63,10217.03,0.12,1268.0,1.23,0.0,0.0,-206.32,-17331.3,-0.21,1030.67,0.1,5,0.07,0,0.0,5.17,105076.28
4,RE_ENTRY,SL_HIT_SUPERTREND,2025-06-23 16:00:00,2025-06-23 17:00:00,short,100652.5,102672.0,100,0.1,10065.25,100.0,-201.95,-207.05,-17392.31,-0.21,0.0,0.0,2019.5,2.01,-413.38,-34723.6,-0.41,1006.52,0.1,5,0.0,0,0.0,5.1,101737.79
5,RE_ENTRY,SL_HIT_SUPERTREND,2025-11-04 21:00:00,2025-11-04 22:00:00,short,100284.0,101865.5,100,0.1,10028.4,100.0,-158.15,-163.25,-13713.1,-0.16,0.0,0.0,1581.5,1.58,-576.63,-48436.71,-0.58,1002.84,0.1,5,0.0,0,0.0,5.1,101737.79
6,RE_ENTRY,SL_HIT_SUPERTREND,2025-11-06 16:00:00,2025-11-06 16:00:00,short,100841.5,102378.5,100,0.1,10084.15,100.0,-153.7,-158.8,-13339.2,-0.16,0.0,0.0,1537.0,1.52,-735.43,-61775.91,-0.74,1008.42,0.1,5,0.0,0,0.0,5.1,101737.79
7,RE_ENTRY,SL_HIT_SUPERTREND,2025-11-07 12:00:00,2025-11-07 17:00:00,short,99618.0,102698.5,100,0.1,9961.8,100.0,-308.05,-313.16,-26305.12,-0.31,0.0,0.0,3080.5,3.09,-1048.58,-88081.03,-1.05,996.18,0.1,5,0.01,0,0.0,5.11,101737.79
8,RE_ENTRY,SL_HIT_SUPERTREND,2025-11-09 02:00:00,2025-11-09 02:00:00,short,101599.5,102006.0,100,0.1,10159.95,100.0,-40.65,-45.75,-3843.0,-0.05,0.0,0.0,406.5,0.4,-1094.33,-91924.03,-1.09,1016.0,0.1,5,0.0,0,0.0,5.1,101737.79
9,RE_ENTRY,DOUBLE_TOP,2025-11-13 20:00:00,2025-11-15 02:00:00,short,98136.0,96462.5,100,0.1,9813.6,100.0,167.35,162.21,13625.85,0.16,1673.5,1.71,0.0,0.0,-932.12,-78298.18,-0.93,981.36,0.1,5,0.04,0,0.0,5.14,101737.79
10,RE_ENTRY,DOUBLE_TOP,2025-11-15 20:00:00,2025-11-16 09:00:00,short,95259.5,96608.0,100,0.1,9525.95,100.0,-134.85,-139.97,-11757.17,-0.14,0.0,0.0,1348.5,1.42,-1072.09,-90055.35,-1.07,952.6,0.1,5,0.02,0,0.0,5.12,97150.21
11,RE_ENTRY,DOUBLE_TOP,2025-11-16 21:00:00,2025-11-17 03:00:00,short,93481.5,95480.0,100,0.1,9348.15,100.0,-199.85,-204.96,-17216.43,-0.2,0.0,0.0,1998.5,2.14,-1277.04,-107271.78,-1.28,934.81,0.1,5,0.01,0,0.0,5.11,96241.76
12,RE_ENTRY,SL_HIT_SUPERTREND,2025-11-17 13:00:00,2025-11-18 15:00:00,short,93923.5,93000.0,100,0.1,9392.35,100.0,92.35,87.22,7326.27,0.09,923.5,0.98,0.0,0.0,-1189.83,-99945.51,-1.19,939.24,0.1,5,0.03,0,0.0,5.13,96241.76
13,RE_ENTRY,SL_HIT_SUPERTREND,2025-11-19 05:00:00,2025-11-20 00:00:00,short,90424.5,92282.5,100,0.1,9042.45,100.0,-185.8,-190.92,-16037.6,-0.19,0.0,0.0,1858.0,2.05,-1380.75,-115983.1,-1.38,904.25,0.1,5,0.02,0,0.0,5.12,92769.72
14,RE_ENTRY,DOUBLE_TOP,2025-11-20 18:00:00,2025-11-20 22:00:00,short,86455.0,88035.5,100,0.1,8645.5,100.0,-158.05,-163.16,-13705.02,-0.16,0.0,0.0,1580.5,1.83,-1543.91,-129688.12,-1.54,864.55,0.1,5,0.01,0,0.0,5.1,90928.78
15,RE_ENTRY,DOUBLE_TOP,2025-11-21 02:00:00,2025-11-21 14:00:00,short,85408.5,84808.5,100,0.1,8540.85,100.0,60.0,54.88,4610.34,0.05,600.0,0.7,0.0,0.0,-1489.02,-125077.78,-1.49,854.09,0.1,5,0.01,0,0.0,5.11,89782.87
16,RE_ENTRY,SL_HIT_SUPERTREND,2025-11-22 04:00:00,2025-11-23 01:00:00,short,84214.5,86137.0,100,0.1,8421.45,100.0,-192.25,-197.38,-16579.6,-0.2,0.0,0.0,1922.5,2.28,-1686.4,-141657.39,-1.69,842.15,0.1,5,0.03,0,0.0,5.13,86775.41
17,FIRST_ENTRY,DOUBLE_TOP,2026-02-01 15:00:00,2026-02-02 13:00:00,short,77570.0,78179.5,100,0.1,7757.0,100.0,-60.95,-66.08,-5550.51,-0.07,0.0,0.0,609.5,0.79,-1752.47,-147207.9,-1.75,775.7,0.1,5,0.03,0,0.0,5.13,80205.36
18,RE_ENTRY,DOUBLE_TOP,2026-02-03 02:00:00,2026-02-04 03:00:00,short,77782.0,76661.5,100,0.1,7778.2,100.0,112.05,106.92,8981.18,0.11,1120.5,1.44,0.0,0.0,-1645.56,-138226.73,-1.65,777.82,0.1,5,0.03,0,0.0,5.13,79314.68
19,RE_ENTRY,DOUBLE_TOP,2026-02-04 17:00:00,2026-02-06 01:00:00,short,72551.0,65672.0,100,0.1,7255.1,100.0,687.9,682.76,57351.84,0.68,6879.0,9.48,0.0,0.0,-962.8,-80874.88,-0.96,725.51,0.1,5,0.04,0,0.0,5.14,76378.22
20,RE_ENTRY,SL_HIT_SUPERTREND,2026-02-17 14:00:00,2026-02-17 14:00:00,short,66854.0,68322.5,100,0.1,6685.4,100.0,-146.85,-151.95,-12763.8,-0.15,0.0,0.0,1468.5,2.2,-1114.75,-93638.68,-1.11,668.54,0.1,5,0.0,0,0.0,5.1,67635.39
21,RE_ENTRY,SL_HIT_SUPERTREND,2026-02-24 05:00:00,2026-02-24 16:00:00,short,63073.5,64394.5,100,0.1,6307.35,100.0,-132.1,-137.21,-11525.95,-0.14,0.0,0.0,1321.0,2.09,-1251.96,-105164.64,-1.25,630.74,0.1,5,0.01,0,0.0,5.11,65275.9
22,RE_ENTRY,SL_HIT_SUPERTREND,2026-06-04 01:00:00,2026-06-04 03:00:00,short,62146.0,64500.5,100,0.1,6214.6,100.0,-235.45,-240.55,-20206.41,-0.24,0.0,0.0,2354.5,3.79,-1492.51,-125371.05,-1.49,621.46,0.1,5,0.0,0,0.0,5.1,64233.41
23,RE_ENTRY,DOUBLE_TOP,2026-06-05 02:00:00,2026-06-05 20:00:00,short,62588.5,61600.0,100,0.1,6258.85,100.0,98.85,93.73,7873.11,0.09,988.5,1.58,0.0,0.0,-1398.78,-117497.94,-1.4,625.88,0.1,5,0.02,0,0.0,5.12,64233.41
