trade_number,entry_type,exit_type,entry_datetime,exit_datetime,direction,entry_price,exit_price,size_qty,actual_quantity,size_value,lot_notional_usd,gross_pnl,net_pnl,net_pnl_inr,net_pnl_pct,favorable_excursion,favorable_excursion_pct,adverse_excursion,adverse_excursion_pct,cumulative_pnl,cumulative_pnl_inr,cumulative_pnl_pct,margin_required,taker_fees_usd,slippage_usd,slippage_applied,funding_usd,insurance_usd,tax_usd,total_charges_usd,stop_loss
1,SELL,ST_FLIP_GREEN,2025-06-25T14:00:00,2025-06-26T02:00:00,short,106798,107798,100,0.1,10679.8,100.0,-100,-104.11,-8745.24,-0.1,0,0.0,1000,0.94,-104.11,-8745.24,-0.1,1067.98,0.1,4,2.0,0.01,0,0.0,4.11,107198
2,BUY,ST_FLIP_RED,2025-06-26T02:00:00,2025-06-30T20:00:00,long,107798,107198,100,0.1,10779.8,100.0,-60,-64.11,-5385.24,-0.06,0,0.0,600,0.56,-168.22,-14130.48,-0.17,1077.98,0.1,4,2.0,0.01,0,0.0,4.11,107398
3,BUY,ST_FLIP_RED,2025-07-02T04:00:00,2025-07-03T14:00:00,long,106398,109198,100,0.1,10639.8,100.0,280,275.89,23174.76,0.28,2800,2.63,0,0.0,107.67,9044.28,0.11,1063.98,0.1,4,2.0,0.01,0,0.0,4.11,105998
4,SELL,ST_FLIP_GREEN,2025-07-03T14:00:00,2025-07-06T12:00:00,short,109198,108598,100,0.1,10919.8,100.0,60,55.89,4694.76,0.06,600,0.55,0,0.0,163.56,13739.04,0.16,1091.98,0.1,4,2.0,0.01,0,0.0,4.11,109598
5,BUY,ST_FLIP_RED,2025-07-06T12:00:00,2025-07-07T16:00:00,long,108598,108198,100,0.1,10859.8,100.0,-40,-44.11,-3705.24,-0.04,0,0.0,400,0.37,119.45,10033.8,0.12,1085.98,0.1,4,2.0,0.01,0,0.0,4.11,108198
6,SELL,ST_FLIP_GREEN,2025-07-07T16:00:00,2025-07-08T12:00:00,short,108198,108798,100,0.1,10819.8,100.0,-60,-64.11,-5385.24,-0.06,0,0.0,600,0.55,55.34,4648.56,0.06,1081.98,0.1,4,2.0,0.01,0,0.0,4.11,108598
7,BUY,ST_FLIP_RED,2025-07-08T12:00:00,2025-07-09T20:00:00,long,108798,110598,100,0.1,10879.8,100.0,180,175.89,14774.76,0.18,1800,1.65,0,0.0,231.23,19423.32,0.23,1087.98,0.1,4,2.0,0.01,0,0.0,4.11,108398
8,SELL,ST_FLIP_GREEN,2025-07-09T20:00:00,2025-07-10T16:00:00,short,110598,111598,100,0.1,11059.8,100.0,-100,-104.11,-8745.24,-0.1,0,0.0,1000,0.9,127.12,10678.08,0.13,1105.98,0.1,4,2.0,0.01,0,0.0,4.11,110998
9,BUY,ST_FLIP_RED,2025-07-10T16:00:00,2025-07-11T14:00:00,long,111598,117398,100,0.1,11159.8,100.0,580,575.89,48374.76,0.58,5800,5.2,0,0.0,703.01,59052.84,0.7,1115.98,0.1,4,2.0,0.01,0,0.0,4.11,111198
10,SELL,ST_FLIP_GREEN,2025-07-11T14:00:00,2025-07-11T18:00:00,short,117398,117998,100,0.1,11739.8,100.0,-60,-64.11,-5385.24,-0.06,0,0.0,600,0.51,638.9,53667.6,0.64,1173.98,0.1,4,2.0,0.01,0,0.0,4.11,117798
