timestamp,open,high,low,close,volume
1749232800,104886.0,104940.0,104434.5,104482.5,170991.0
1749234600,104483.5,104692.5,104432.5,104466.5,106226.0
1749236400,104463.0,104570.0,104238.0,104255.5,136998.0
1749238200,104255.5,104318.0,104019.0,104187.5,135198.0
1749240000,104186.5,104385.0,104119.0,104318.5,59843.0
1749241800,104315.0,104585.5,104265.0,104440.5,83438.0
1749243600,104439.5,104451.0,104244.0,104276.5,34721.0
1749245400,104277.5,104458.0,104276.5,104346.0,18232.0
1749247200,104345.0,104369.0,104184.5,104313.5,26513.0
1749249000,104313.5,104436.5,104242.0,104435.5,19723.0
1749250800,104435.5,104445.5,104150.0,104311.0,23154.0
1749252600,104311.0,104334.5,104231.0,104250.0,10663.0
1749254400,104250.0,104295.5,103826.5,104135.0,87929.0
1749256200,104135.0,104485.5,104110.0,104481.0,57352.0
1749258000,104481.0,104536.0,104312.5,104392.0,46441.0
1749259800,104392.0,104474.5,104293.5,104396.0,29732.0
1749261600,104396.0,104407.5,104280.0,104336.5,30355.0
1749263400,104337.5,104587.0,104318.0,104486.0,63883.0
1749265200,104482.0,104777.0,104440.0,104659.5,107582.0
1749267000,104659.5,104866.0,104623.0,104833.0,55873.0
1749268800,104833.0,104833.0,104643.0,104648.0,61651.0
1749270600,104648.0,104786.0,104600.0,104774.5,63668.0
1749272400,104775.5,104804.0,104698.0,104774.5,37965.0
1749274200,104775.5,104965.0,104748.0,104833.5,89301.0
1749276000,104834.5,104872.5,104738.0,104738.5,64730.0
1749277800,104738.5,105300.0,104738.5,105283.5,186941.0
1749279600,105282.5,105292.0,104788.5,104904.0,191684.0
1749281400,104904.0,104972.5,104819.0,104823.5,66707.0
1749283200,104824.5,104929.5,104745.0,104887.5,87915.0
1749285000,104887.5,104887.5,104650.5,104702.0,102394.0
1749286800,104702.0,104908.0,104702.0,104888.0,90113.0
1749288600,104888.0,104888.0,104738.0,104798.0,55259.0
1749290400,104798.0,105144.0,104790.0,105109.0,146164.0
1749292200,105110.0,105170.0,104887.0,105102.0,107950.0
1749294000,105102.0,105233.0,105076.5,105179.0,76453.0
1749295800,105179.0,105227.5,105018.0,105104.5,59875.0
1749297600,105105.5,105252.5,105104.5,105252.0,72050.0
1749299400,105252.0,105682.5,105200.0,105413.0,254246.0
1749301200,105420.0,105526.5,105258.5,105460.5,139479.0
1749303000,105470.0,105767.5,105470.0,105561.0,164829.0
1749304800,105562.0,105616.5,105367.0,105379.5,144110.0
1749306600,105379.5,105650.0,105343.5,105381.5,133993.0
1749308400,105379.0,105489.0,105275.5,105414.5,115676.0
1749310200,105414.5,105550.0,105361.5,105519.0,83001.0
1749312000,105518.0,105641.0,105422.5,105424.5,101280.0
1749313800,105425.5,105431.5,105232.5,105313.0,133115.0
1749315600,105313.0,105526.0,105300.5,105484.0,81524.0
1749317400,105485.0,105496.5,105341.0,105358.5,46236.0
1749319200,105359.5,105761.0,105359.5,105735.0,153122.0
1749321000,105735.0,105858.0,105512.5,105586.0,90104.0
1749322800,105585.5,105843.0,105570.5,105822.5,62867.0
1749324600,105822.5,105829.0,105606.0,105705.5,58177.0
1749326400,105705.5,105885.0,105698.0,105839.0,48118.0
1749328200,105838.0,105851.0,105744.5,105803.0,20808.0
1749330000,105811.0,105829.5,105744.0,105761.0,19043.0
1749331800,105762.0,105834.0,105653.0,105724.0,20558.0
1749333600,105725.0,105795.5,105615.5,105754.0,17705.0
1749335400,105757.0,105874.0,105750.5,105775.0,24188.0
1749337200,105776.0,105776.0,105562.0,105625.0,23380.0
1749339000,105638.5,105679.5,105495.0,105518.0,35060.0
1749340800,105519.0,105519.0,105410.5,105479.5,29430.0
1749342600,105490.0,105635.5,105399.5,105438.0,25874.0
1749344400,105438.0,105559.5,105358.5,105494.5,34630.0
1749346200,105494.5,105750.5,105494.5,105655.0,42202.0
1749348000,105656.0,105656.0,105440.5,105471.0,48098.0
1749349800,105472.0,105543.0,105394.5,105411.0,36158.0
1749351600,105411.0,105424.5,105360.5,105366.0,38617.0
1749353400,105367.0,105474.5,105366.0,105447.5,27081.0
1749355200,105447.5,105486.5,105380.0,105468.0,34958.0
1749357000,105468.0,105612.0,105467.0,105577.0,51508.0
1749358800,105576.0,105605.5,105494.5,105571.5,39922.0
1749360600,105572.5,105584.5,105368.5,105397.5,46210.0
1749362400,105397.5,105562.5,105388.5,105499.5,47302.0
1749364200,105499.5,105544.5,105395.0,105405.5,33564.0
1749366000,105405.5,105524.0,105400.5,105422.0,32971.0
1749367800,105423.0,105441.0,105369.5,105390.5,33335.0
1749369600,105391.5,105465.0,105362.0,105396.0,30165.0
1749371400,105396.0,105431.0,105318.5,105337.5,43141.0
1749373200,105337.5,105371.5,105067.0,105160.0,156666.0
1749375000,105159.0,105224.0,105103.0,105103.5,78412.0
1749376800,105104.5,105133.0,104940.0,105051.5,140081.0
1749378600,105050.5,105435.5,105050.5,105308.5,185059.0
1749380400,105309.5,105676.5,105308.5,105548.0,167716.0
1749382200,105547.0,105649.5,105478.5,105630.5,91247.0
1749384000,105630.5,105735.5,105512.5,105596.0,130667.0
