timestamp,open,high,low,close,volume
1749240000,104186.5,104585.5,104119.0,104250.0,276287.0
1749254400,104250.0,104866.0,103826.5,104833.0,479147.0
1749268800,104833.0,105300.0,104600.0,104823.5,762647.0
1749283200,104824.5,105233.0,104650.5,105104.5,726123.0
1749297600,105105.5,105767.5,105104.5,105519.0,1107384.0
1749312000,105518.0,105858.0,105232.5,105705.5,726425.0
1749326400,105705.5,105885.0,105495.0,105518.0,208860.0
1749340800,105519.0,105750.5,105358.5,105447.5,282090.0
1749355200,105447.5,105612.0,105368.5,105390.5,319770.0
1749369600,105391.5,105676.5,104940.0,105630.5,892487.0
1749384000,105630.5,106087.0,105460.5,105928.0,898012.0
1749398400,105929.0,106313.0,105898.0,106254.0,683134.0
1749412800,106253.0,106494.0,105521.5,105686.5,328310.0
1749427200,105686.5,105940.5,105275.0,105628.0,399728.0
1749441600,105628.0,105695.0,105275.5,105526.0,433100.0
1749456000,105528.0,107777.0,105439.5,107717.5,1724163.0
1749470400,107718.0,107990.5,106818.0,107575.5,1735111.0
1749484800,107575.0,108725.5,107574.5,108513.5,1484164.0
1749499200,108525.5,110656.0,108394.0,110239.5,831466.0
1749513600,110238.5,110286.5,109350.5,109537.0,502651.0
1749528000,109536.0,109701.0,109066.0,109188.5,787744.0
1749542400,109189.5,109811.0,109030.0,109503.5,909447.0
1749556800,109508.5,109861.5,108300.0,108985.5,2010311.0
1749571200,108985.5,110379.0,108480.5,109472.0,1416481.0
1749585600,109472.0,110274.5,109200.0,110247.0,426683.0
1749600000,110246.0,110250.0,109510.0,109674.5,393453.0
1749614400,109675.5,109718.5,109332.5,109407.0,479070.0
1749628800,109408.0,109640.5,109154.0,109210.5,467392.0
1749643200,109211.5,110361.5,108973.5,109706.0,1794861.0
1749657600,109706.0,109787.0,108356.0,108706.5,1349192.0
1749672000,108686.5,109175.0,108015.0,108610.5,380534.0
1749686400,108611.5,108793.5,107683.0,107832.0,453385.0
1749700800,107832.0,107962.0,107310.5,107588.5,551173.0
1749715200,107587.5,107809.0,106843.0,106873.5,691757.0
1749729600,106882.0,107781.0,106550.0,106971.0,1629625.0
1749744000,106972.0,108403.5,106631.5,106761.0,1704962.0
1749758400,106761.0,106933.0,105612.0,105631.5,602651.0
1749772800,105620.5,105657.5,102625.5,104243.5,1348917.0
1749787200,104243.5,104902.0,103743.5,104841.0,877341.0
1749801600,104842.0,105461.5,104370.0,105000.5,1102579.0
1749816000,104999.5,105740.5,104079.5,105402.0,1897920.0
1749830400,105402.0,105924.0,104617.0,105061.5,1509368.0
1749844800,105093.0,106152.0,104973.0,106041.5,285049.0
1749859200,106038.5,106185.0,105160.5,105199.5,411653.0
1749873600,105199.5,105369.0,104748.5,105036.5,476697.0
1749888000,105035.5,105099.0,104782.5,105047.5,456890.0
1749902400,105040.0,105096.0,104583.0,104794.0,476520.0
1749916800,104793.0,105021.5,104310.0,104588.5,1085641.0
1749931200,104597.0,105449.0,104241.0,105370.0,488794.0
1749945600,105371.0,105642.5,105219.0,105436.0,276069.0
1749960000,105436.0,106110.5,105150.5,105385.5,774740.0
1749974400,105384.5,105458.5,104823.0,104934.5,580246.0
1749988800,104934.5,105811.5,104910.0,105537.0,842232.0
1750003200,105537.0,105752.5,105009.5,105263.0,524682.0
1750017600,105263.0,105582.5,104418.5,105546.0,394107.0
1750032000,105545.0,105938.0,104930.0,105876.0,452773.0
1750046400,105879.0,107253.5,105827.5,107034.0,916173.0
1750060800,107035.0,107206.5,106550.0,106854.0,711108.0
1750075200,106854.0,107756.5,106458.5,107385.0,1472097.0
1750089600,107386.0,108865.0,107268.5,108605.5,1377128.0
