Date,Time,Open,High,Low,Close,Volume
2026-06-06,18:00:00,60560.0,60730.0,60370.0,60611.5,668964.0
2026-06-06,19:00:00,60611.5,60767.0,60508.0,60569.5,368469.0
2026-06-06,20:00:00,60569.5,60736.0,60490.5,60666.5,172280.0
2026-06-06,21:00:00,60685.0,60976.0,60679.0,60730.0,251728.0
2026-06-06,22:00:00,60715.5,60794.5,60400.0,60519.0,235108.0
2026-06-06,23:00:00,60520.0,60917.5,60518.0,60856.5,121300.0
2026-06-07,00:00:00,60845.5,60968.5,60714.0,60756.0,143212.0
2026-06-07,01:00:00,60750.0,61641.5,60726.5,61459.5,717876.0
2026-06-07,02:00:00,61462.5,61547.0,61156.0,61479.5,558863.0
2026-06-07,03:00:00,61476.0,61764.5,61383.5,61678.0,580477.0
2026-06-07,04:00:00,61676.0,61872.5,61453.5,61861.0,788182.0
2026-06-07,05:00:00,61860.0,62137.0,61614.5,61715.0,1038639.0
2026-06-07,06:00:00,61715.0,62260.0,61584.0,62087.0,1113750.0
2026-06-07,07:00:00,62083.5,62387.0,61960.0,62371.5,776027.0
2026-06-07,08:00:00,62372.5,62949.0,62222.0,62829.5,1531662.0
2026-06-07,09:00:00,62830.5,62893.0,62382.5,62515.5,1101016.0
2026-06-07,10:00:00,62515.5,62553.5,62279.0,62350.5,898289.0
2026-06-07,11:00:00,62349.5,62736.5,62339.0,62600.5,775475.0
2026-06-07,12:00:00,62605.5,62624.5,61541.5,61878.0,2068129.0
2026-06-07,13:00:00,61871.0,61886.5,61625.5,61681.0,690490.0
2026-06-07,14:00:00,61682.0,62291.5,61680.5,61883.5,1301268.0
2026-06-07,15:00:00,61878.5,62196.5,61646.0,62078.5,1000906.0
2026-06-07,16:00:00,62078.5,62306.0,61935.5,62061.0,865053.0
2026-06-07,17:00:00,62060.0,62306.5,62017.5,62135.5,649522.0
2026-06-07,18:00:00,62135.5,62275.0,61995.0,62004.0,445814.0
2026-06-07,19:00:00,62011.0,62016.0,61158.5,61309.5,1339278.0
2026-06-07,20:00:00,61308.0,61954.0,61195.5,61850.0,613739.0
2026-06-07,21:00:00,61849.0,61986.5,61624.0,61756.0,280747.0
2026-06-07,22:00:00,61779.0,64240.0,61696.0,62845.5,1003218.0
2026-06-07,23:00:00,62838.0,63431.5,62769.0,63303.0,428639.0
2026-06-08,00:00:00,63298.0,63851.5,63117.0,63605.0,465711.0
2026-06-08,01:00:00,63615.0,63625.5,62688.0,63192.0,720969.0
