timestamp,open,high,low,close,volume
1749254400,104250.0,105885.0,103826.5,105518.0,4010586.0
1749340800,105519.0,106494.0,104940.0,105686.5,3403803.0
1749427200,105686.5,110656.0,105275.0,110239.5,6607732.0
1749513600,110238.5,110379.0,108300.0,110247.0,6053317.0
1749600000,110246.0,110361.5,108015.0,108610.5,4864502.0
1749686400,108611.5,108793.5,105612.0,105631.5,5633553.0
1749772800,105620.5,106152.0,102625.5,106041.5,7021174.0
1749859200,106038.5,106185.0,104241.0,105370.0,3396195.0
1749945600,105371.0,106110.5,104418.5,105546.0,3392076.0
1750032000,105545.0,108914.0,104930.0,106760.5,5425662.0
1750118400,106760.5,107738.5,103321.5,104518.5,6942100.0
1750204800,104517.5,105511.5,103454.0,104842.5,6664922.0
1750291200,104843.5,105197.0,103879.0,104622.5,3826784.0
1750377600,104618.0,106497.0,102295.0,103255.0,7334329.0
1750464000,103257.0,103950.0,100823.5,102083.0,4422408.0
1750550400,102089.5,103360.0,98135.5,100915.5,8694614.0
1750636800,100914.5,106039.0,99558.5,105302.0,8571975.0
1750723200,105302.0,106249.0,104580.5,106046.0,4916684.0
1750809600,106046.0,108107.0,105766.0,107291.5,5838271.0
1750896000,107300.0,108255.0,106510.0,106925.0,4466312.0
1750982400,106925.0,107697.0,106325.0,107014.5,4982526.0
1751068800,107021.0,107522.0,106777.0,107251.0,2052700.0
1751155200,107260.5,108510.0,107129.0,108320.0,3314066.0
1751241600,108321.0,108770.0,106694.0,107097.5,5030921.0
1751328000,107097.5,107507.5,105199.0,105648.0,5611700.0
1751414400,105648.0,109702.0,105057.0,108811.0,7063069.0
1751500800,108811.0,110497.0,108488.5,109555.5,5801280.0
1751587200,109556.5,109743.5,107210.5,107945.5,5085801.0
1751673600,107945.5,108379.5,107698.5,108164.5,2373150.0
1751760000,108164.5,109684.0,107753.5,109157.0,3171781.0
1751846400,109156.0,109678.0,107466.0,108214.0,4729685.0
1751932800,108214.0,109191.0,107409.0,108884.5,4588730.0
1752019200,108884.5,112034.0,108285.0,111210.5,5772560.0
1752105600,111210.5,117498.0,110458.0,115988.5,6772511.0
1752192000,115990.5,118894.0,115207.5,117511.5,7160322.0
