timestamp,open,high,low,close,volume,datetime
1707206400,2333.55,2333.55,2329.45,2329.45,19.0,2024-02-06 08:00:00
1707213600,2330.65,2330.65,2330.65,2330.65,10.0,2024-02-06 10:00:00
1707220800,2330.65,2330.65,2330.65,2330.65,0.0,2024-02-06 12:00:00
1707228000,2340.15,2340.15,2340.15,2340.15,464.0,2024-02-06 14:00:00
1707235200,2340.15,2340.15,2340.15,2340.15,0.0,2024-02-06 16:00:00
1707242400,2340.15,2340.15,2340.15,2340.15,0.0,2024-02-06 18:00:00
1707249600,2340.15,2340.15,2340.15,2340.15,0.0,2024-02-06 20:00:00
1707256800,2340.15,2340.15,2340.15,2340.15,0.0,2024-02-06 22:00:00
1707264000,2340.15,2340.15,2340.15,2340.15,0.0,2024-02-07 00:00:00
1707271200,2340.15,2340.15,2340.15,2340.15,0.0,2024-02-07 02:00:00
1707278400,2340.15,2340.15,2340.15,2340.15,0.0,2024-02-07 04:00:00
1707285600,2340.15,2340.15,2340.15,2340.15,0.0,2024-02-07 06:00:00
1707292800,2340.15,2340.15,2340.15,2340.15,0.0,2024-02-07 08:00:00
1707300000,2366.85,2366.85,2366.85,2366.85,1.0,2024-02-07 10:00:00
1707307200,2366.85,2366.85,2366.85,2366.85,0.0,2024-02-07 12:00:00
1707314400,2366.85,2366.85,2366.85,2366.85,0.0,2024-02-07 14:00:00
1707321600,2366.85,2366.85,2366.85,2366.85,0.0,2024-02-07 16:00:00
1707328800,2366.85,2366.85,2366.85,2366.85,0.0,2024-02-07 18:00:00
1707336000,2366.85,2366.85,2366.85,2366.85,0.0,2024-02-07 20:00:00
1707343200,2366.85,2366.85,2366.85,2366.85,0.0,2024-02-07 22:00:00
1707350400,2366.85,2366.85,2366.85,2366.85,0.0,2024-02-08 00:00:00
1707357600,2366.85,2366.85,2366.85,2366.85,0.0,2024-02-08 02:00:00
1707364800,2424.0,2424.0,2424.0,2424.0,1.0,2024-02-08 04:00:00
1707372000,2423.25,2423.25,2423.25,2423.25,1.0,2024-02-08 06:00:00
1707379200,2423.25,2423.25,2423.25,2423.25,0.0,2024-02-08 08:00:00
1707386400,2423.25,2423.25,2423.25,2423.25,0.0,2024-02-08 10:00:00
1707393600,2423.25,2423.25,2423.25,2423.25,0.0,2024-02-08 12:00:00
1707400800,2423.25,2423.25,2423.25,2423.25,0.0,2024-02-08 14:00:00
1707408000,2423.25,2423.25,2423.25,2423.25,0.0,2024-02-08 16:00:00
1707415200,2423.25,2423.25,2423.25,2423.25,0.0,2024-02-08 18:00:00
1707422400,2423.25,2423.25,2423.25,2423.25,0.0,2024-02-08 20:00:00
1707429600,2423.25,2423.25,2423.25,2423.25,0.0,2024-02-08 22:00:00
1707436800,2423.25,2423.25,2423.25,2423.25,0.0,2024-02-09 00:00:00
1707444000,2423.25,2423.25,2423.25,2423.25,0.0,2024-02-09 02:00:00
1707451200,2423.25,2423.25,2423.25,2423.25,0.0,2024-02-09 04:00:00
1707458400,2423.25,2423.25,2423.25,2423.25,0.0,2024-02-09 06:00:00
1707465600,2423.25,2423.25,2423.25,2423.25,0.0,2024-02-09 08:00:00
1707472800,2423.25,2423.25,2423.25,2423.25,0.0,2024-02-09 10:00:00
1707480000,2423.25,2423.25,2423.25,2423.25,0.0,2024-02-09 12:00:00
1707487200,2423.25,2423.25,2423.25,2423.25,0.0,2024-02-09 14:00:00
1707494400,2423.25,2423.25,2423.25,2423.25,0.0,2024-02-09 16:00:00
1707501600,2423.25,2423.25,2423.25,2423.25,0.0,2024-02-09 18:00:00
1707508800,2423.25,2423.25,2423.25,2423.25,0.0,2024-02-09 20:00:00
1707516000,2423.25,2423.25,2423.25,2423.25,0.0,2024-02-09 22:00:00
1707523200,2423.25,2423.25,2423.25,2423.25,0.0,2024-02-10 00:00:00
1707530400,2423.25,2423.25,2423.25,2423.25,0.0,2024-02-10 02:00:00
1707537600,2423.25,2423.25,2423.25,2423.25,0.0,2024-02-10 04:00:00
1707544800,2423.25,2423.25,2423.25,2423.25,0.0,2024-02-10 06:00:00
1707552000,2423.25,2423.25,2423.25,2423.25,0.0,2024-02-10 08:00:00
1707559200,2423.25,2423.25,2423.25,2423.25,0.0,2024-02-10 10:00:00
1707566400,2423.25,2423.25,2423.25,2423.25,0.0,2024-02-10 12:00:00
1707573600,2423.25,2423.25,2423.25,2423.25,0.0,2024-02-10 14:00:00
1707580800,2423.25,2423.25,2423.25,2423.25,0.0,2024-02-10 16:00:00
1707588000,2423.25,2423.25,2423.25,2423.25,0.0,2024-02-10 18:00:00
1707595200,2423.25,2423.25,2423.25,2423.25,0.0,2024-02-10 20:00:00
1707602400,2423.25,2423.25,2423.25,2423.25,0.0,2024-02-10 22:00:00
1707609600,2423.25,2423.25,2423.25,2423.25,0.0,2024-02-11 00:00:00
1707616800,2423.25,2423.25,2423.25,2423.25,0.0,2024-02-11 02:00:00
1707624000,2423.25,2423.25,2423.25,2423.25,0.0,2024-02-11 04:00:00
1707631200,2423.25,2423.25,2423.25,2423.25,0.0,2024-02-11 06:00:00
1707638400,2423.25,2423.25,2423.25,2423.25,0.0,2024-02-11 08:00:00
1707645600,2423.25,2423.25,2423.25,2423.25,0.0,2024-02-11 10:00:00
1707652800,2423.25,2423.25,2423.25,2423.25,0.0,2024-02-11 12:00:00
1707660000,2423.25,2423.25,2423.25,2423.25,0.0,2024-02-11 14:00:00
1707667200,2423.25,2423.25,2423.25,2423.25,0.0,2024-02-11 16:00:00
1707674400,2423.25,2423.25,2423.25,2423.25,0.0,2024-02-11 18:00:00
1707681600,2423.25,2423.25,2423.25,2423.25,0.0,2024-02-11 20:00:00
1707688800,2423.25,2423.25,2423.25,2423.25,0.0,2024-02-11 22:00:00
1707696000,2423.25,2423.25,2423.25,2423.25,0.0,2024-02-12 00:00:00
1707703200,2423.25,2423.25,2423.25,2423.25,0.0,2024-02-12 02:00:00
1707710400,2423.25,2423.25,2423.25,2423.25,0.0,2024-02-12 04:00:00
1707717600,2423.25,2423.25,2423.25,2423.25,0.0,2024-02-12 06:00:00
1707724800,2423.25,2423.25,2423.25,2423.25,0.0,2024-02-12 08:00:00
1707732000,2481.05,2481.05,2481.05,2481.05,1.0,2024-02-12 10:00:00
1707739200,2481.05,2481.05,2481.05,2481.05,0.0,2024-02-12 12:00:00
1707746400,2481.05,2481.05,2481.05,2481.05,0.0,2024-02-12 14:00:00
1707753600,2481.05,2481.05,2481.05,2481.05,0.0,2024-02-12 16:00:00
1707760800,2621.05,2638.3,2612.4,2612.4,150.0,2024-02-12 18:00:00
1707768000,2615.6,2652.7,2615.6,2633.0,224.0,2024-02-12 20:00:00
1707775200,2636.55,2666.55,2635.65,2659.85,223.0,2024-02-12 22:00:00
1707782400,2661.4,2682.15,2661.4,2678.9,223.0,2024-02-13 00:00:00
1707789600,2679.45,2680.95,2638.65,2642.1,224.0,2024-02-13 02:00:00
1707796800,2642.35,2654.75,2640.7,2653.05,222.0,2024-02-13 04:00:00
1707804000,2653.15,2654.6,2642.4,2649.6,320.0,2024-02-13 06:00:00
1707811200,2649.0,2683.3,2647.85,2679.25,223.0,2024-02-13 08:00:00
1707818400,2677.9,2685.55,2660.35,2681.75,223.0,2024-02-13 10:00:00
1707825600,2682.25,2686.6,2622.5,2644.75,225.0,2024-02-13 12:00:00
1707832800,2646.15,2653.1,2600.85,2632.45,218.0,2024-02-13 14:00:00
1707840000,2633.45,2641.05,2600.45,2620.3,220.0,2024-02-13 16:00:00
1707847200,2620.05,2636.1,2610.6,2610.6,218.0,2024-02-13 18:00:00
1707854400,2613.0,2649.4,2612.55,2632.15,222.0,2024-02-13 20:00:00
1707861600,2633.25,2643.0,2619.5,2640.25,222.0,2024-02-13 22:00:00
1707868800,2640.0,2640.0,2621.9,2623.25,222.0,2024-02-14 00:00:00
1707876000,2621.55,2645.15,2619.45,2637.65,222.0,2024-02-14 02:00:00
1707883200,2637.9,2642.05,2621.7,2641.4,222.0,2024-02-14 04:00:00
1707890400,2642.1,2654.15,2639.6,2652.6,347.0,2024-02-14 06:00:00
1707897600,2652.95,2748.4,2647.95,2746.9,224.0,2024-02-14 08:00:00
1707904800,2747.7,2759.85,2739.4,2756.95,224.0,2024-02-14 10:00:00
1707912000,2759.1,2770.5,2734.8,2766.45,225.0,2024-02-14 12:00:00
1707919200,2766.05,2770.6,2735.35,2749.9,224.0,2024-02-14 14:00:00
1707926400,2749.4,2750.5,2730.9,2742.0,225.0,2024-02-14 16:00:00
1707933600,2742.65,2765.2,2729.55,2764.0,224.0,2024-02-14 18:00:00
1707940800,2762.0,2787.7,2756.15,2780.35,224.0,2024-02-14 20:00:00
1707948000,2779.3,2784.2,2764.95,2775.6,224.0,2024-02-14 22:00:00
1707955200,2775.45,2827.35,2772.55,2778.8,225.0,2024-02-15 00:00:00
1707962400,2778.6,2804.0,2778.1,2802.1,225.0,2024-02-15 02:00:00
1707969600,2801.35,2802.9,2764.05,2772.55,224.0,2024-02-15 04:00:00
1707976800,2770.3,2785.9,2764.1,2772.65,228.0,2024-02-15 06:00:00
1707984000,2773.85,2793.9,2769.65,2789.65,232.0,2024-02-15 08:00:00
1707991200,2790.85,2803.3,2786.0,2793.35,232.0,2024-02-15 10:00:00
1707998400,2794.35,2813.9,2779.0,2809.15,232.0,2024-02-15 12:00:00
1708005600,2809.95,2867.6,2802.1,2824.75,232.0,2024-02-15 14:00:00
1708012800,2827.5,2841.85,2805.15,2816.45,233.0,2024-02-15 16:00:00
1708020000,2816.45,2839.0,2810.0,2835.15,233.0,2024-02-15 18:00:00
1708027200,2833.3,2847.2,2787.5,2793.4,232.0,2024-02-15 20:00:00
1708034400,2797.9,2826.05,2792.9,2823.55,232.0,2024-02-15 22:00:00
1708041600,2823.8,2858.05,2822.05,2843.65,234.0,2024-02-16 00:00:00
1708048800,2843.1,2856.3,2837.8,2846.9,232.0,2024-02-16 02:00:00
1708056000,2848.05,2851.0,2837.0,2841.6,232.0,2024-02-16 04:00:00
1708063200,2841.55,2852.25,2813.0,2816.1,232.0,2024-02-16 06:00:00
1708070400,2816.4,2827.7,2795.8,2810.35,233.0,2024-02-16 08:00:00
1708077600,2809.15,2835.3,2805.95,2824.35,233.0,2024-02-16 10:00:00
1708084800,2825.05,2847.25,2820.0,2838.9,241.0,2024-02-16 12:00:00
1708092000,2844.1,2845.0,2742.6,2775.95,232.0,2024-02-16 14:00:00
1708099200,2777.05,2805.65,2768.25,2778.25,234.0,2024-02-16 16:00:00
1708106400,2778.55,2786.0,2760.15,2762.95,232.0,2024-02-16 18:00:00
1708113600,2760.35,2792.6,2760.35,2792.6,232.0,2024-02-16 20:00:00
1708120800,2791.5,2809.65,2785.95,2802.8,234.0,2024-02-16 22:00:00
1708128000,2802.65,2805.15,2779.1,2787.35,232.0,2024-02-17 00:00:00
1708135200,2787.4,2795.35,2786.5,2793.9,232.0,2024-02-17 02:00:00
1708142400,2794.8,2796.85,2780.35,2786.1,234.0,2024-02-17 04:00:00
1708149600,2786.3,2798.75,2784.3,2794.85,232.0,2024-02-17 06:00:00
1708156800,2795.65,2795.65,2769.25,2776.25,234.0,2024-02-17 08:00:00
1708164000,2775.4,2786.2,2766.2,2780.65,232.0,2024-02-17 10:00:00
1708171200,2781.55,2788.05,2743.25,2744.25,234.0,2024-02-17 12:00:00
1708178400,2748.55,2757.0,2721.25,2755.1,232.0,2024-02-17 14:00:00
1708185600,2754.1,2769.35,2744.0,2768.1,232.0,2024-02-17 16:00:00
1708192800,2769.75,2776.85,2765.35,2774.75,234.0,2024-02-17 18:00:00
1708200000,2774.45,2800.95,2772.05,2786.9,232.0,2024-02-17 20:00:00
1708207200,2785.65,2790.95,2781.0,2786.35,233.0,2024-02-17 22:00:00
1708214400,2786.3,2797.55,2777.4,2779.1,233.0,2024-02-18 00:00:00
1708221600,2781.0,2783.0,2766.8,2782.15,232.0,2024-02-18 02:00:00
1708228800,2782.8,2804.85,2782.8,2803.05,234.0,2024-02-18 04:00:00
1708236000,2805.0,2807.6,2779.7,2800.9,232.0,2024-02-18 06:00:00
1708243200,2802.05,2820.9,2796.85,2819.75,232.0,2024-02-18 08:00:00
1708250400,2818.6,2822.6,2799.35,2802.9,232.0,2024-02-18 10:00:00
