trade_number,entry_type,exit_type,entry_datetime,exit_datetime,direction,entry_price,exit_price,size_qty,actual_quantity,size_value,lot_notional_usd,gross_pnl,net_pnl,net_pnl_inr,net_pnl_pct,favorable_excursion,favorable_excursion_pct,adverse_excursion,adverse_excursion_pct,cumulative_pnl,cumulative_pnl_inr,cumulative_pnl_pct,margin_required,taker_fees_usd,slippage_usd,slippage_applied,funding_usd,insurance_usd,tax_usd,total_charges_usd,stop_loss
1,BUY_A,ST_FLIP_RED,2025-07-02T08:00:00,2025-07-03T04:00:00,long,105967,108757,100,0.1,10596.7,100.0,279.0,268.89,22586.76,0.27,2790,2.63,0,0.0,268.89,22586.76,0.27,1059.67,0.1,10,5.0,0.01,0,0.0,10.11,105595
2,SELL_B,ST_FLIP_GREEN,2025-07-03T04:00:00,2025-07-03T10:00:00,short,108757,109315,100,0.1,10875.7,100.0,-55.8,-65.91,-5536.44,-0.07,0,0.0,558,0.51,202.98,17050.32,0.2,1087.57,0.1,10,5.0,0.01,0,0.0,10.11,109129
3,SELL_B,ST_FLIP_GREEN,2025-07-03T20:00:00,2025-07-05T02:00:00,short,109129,108199,100,0.1,10912.9,100.0,93.0,82.89,6962.76,0.08,930,0.85,0,0.0,285.87,24013.08,0.29,1091.29,0.1,10,5.0,0.01,0,0.0,10.11,109501
4,SELL_B,ST_FLIP_GREEN,2025-07-05T06:00:00,2025-07-05T08:00:00,short,107641,108385,100,0.1,10764.1,100.0,-74.4,-84.51,-7098.84,-0.08,0,0.0,744,0.69,201.36,16914.24,0.2,1076.41,0.1,10,5.0,0.01,0,0.0,10.11,108013
5,BUY_B,ST_FLIP_RED,2025-07-05T08:00:00,2025-07-06T22:00:00,long,108385,108385,100,0.1,10838.5,100.0,0.0,-10.11,-849.24,-0.01,0,0.0,0,0.0,191.25,16065.0,0.19,1083.85,0.1,10,5.0,0.01,0,0.0,10.11,108013
6,BUY_B,ST_FLIP_RED,2025-07-07T02:00:00,2025-07-07T04:00:00,long,109129,108943,100,0.1,10912.9,100.0,-18.6,-28.71,-2411.64,-0.03,0,0.0,186,0.17,162.54,13653.36,0.16,1091.29,0.1,10,5.0,0.01,0,0.0,10.11,108757
7,SELL_A,ST_FLIP_GREEN,2025-07-07T04:00:00,2025-07-08T04:00:00,short,108943,108199,100,0.1,10894.3,100.0,74.4,64.29,5400.36,0.06,744,0.68,0,0.0,226.83,19053.72,0.23,1089.43,0.1,10,5.0,0.01,0,0.0,10.11,109315
8,BUY_A,ST_FLIP_RED,2025-07-08T04:00:00,2025-07-08T06:00:00,long,108385,108013,100,0.1,10838.5,100.0,-37.2,-47.31,-3974.04,-0.05,0,0.0,372,0.34,179.52,15079.68,0.18,1083.85,0.1,10,5.0,0.01,0,0.0,10.11,108013
9,SELL_A,ST_FLIP_GREEN,2025-07-08T06:00:00,2025-07-08T12:00:00,short,107827,108385,100,0.1,10782.7,100.0,-55.8,-65.91,-5536.44,-0.07,0,0.0,558,0.52,113.61,9543.24,0.11,1078.27,0.1,10,5.0,0.01,0,0.0,10.11,108199
10,BUY_B,ST_FLIP_RED,2025-07-08T12:00:00,2025-07-09T08:00:00,long,108385,108385,100,0.1,10838.5,100.0,0.0,-10.11,-849.24,-0.01,0,0.0,0,0.0,103.5,8694.0,0.1,1083.85,0.1,10,5.0,0.01,0,0.0,10.11,108013
11,SELL_A,ST_FLIP_GREEN,2025-07-09T08:00:00,2025-07-09T10:00:00,short,108199,108757,100,0.1,10819.9,100.0,-55.8,-65.91,-5536.44,-0.07,0,0.0,558,0.52,37.59,3157.56,0.04,1081.99,0.1,10,5.0,0.01,0,0.0,10.11,108571
12,BUY_A,ST_FLIP_RED,2025-07-09T10:00:00,2025-07-09T18:00:00,long,108757,108757,100,0.1,10875.7,100.0,0.0,-10.11,-849.24,-0.01,0,0.0,0,0.0,27.48,2308.32,0.03,1087.57,0.1,10,5.0,0.01,0,0.0,10.11,108385
