trade_number,entry_type,exit_type,entry_datetime,exit_datetime,direction,entry_price,exit_price,size_qty,actual_quantity,size_value,lot_notional_usd,gross_pnl,net_pnl,net_pnl_inr,net_pnl_pct,favorable_excursion,favorable_excursion_pct,adverse_excursion,adverse_excursion_pct,cumulative_pnl,cumulative_pnl_inr,cumulative_pnl_pct,margin_required,taker_fees_usd,slippage_usd,slippage_applied,funding_usd,insurance_usd,tax_usd,total_charges_usd,stop_loss
1,BUY_B,ST_FLIP_RED,2025-07-02T10:00:00,2025-07-03T06:00:00,long,106555,108475,100,0.1,10655.5,100.0,192,181.89,15278.76,0.18,1920,1.8,0,0.0,181.89,15278.76,0.18,1065.55,0.1,10,5.0,0.01,0,0.0,10.11,106075
2,SELL_B,ST_FLIP_GREEN,2025-07-03T06:00:00,2025-07-03T10:00:00,short,108475,108955,100,0.1,10847.5,100.0,-48,-58.11,-4881.24,-0.06,0,0.0,480,0.44,123.78,10397.52,0.12,1084.75,0.1,10,5.0,0.01,0,0.0,10.11,108955
3,SELL_B,ST_FLIP_GREEN,2025-07-03T20:00:00,2025-07-03T22:00:00,short,108955,109435,100,0.1,10895.5,100.0,-48,-58.11,-4881.24,-0.06,0,0.0,480,0.44,65.67,5516.28,0.07,1089.55,0.1,10,5.0,0.01,0,0.0,10.11,109435
4,SELL_B,ST_FLIP_GREEN,2025-07-04T08:00:00,2025-07-08T12:00:00,short,108955,108235,100,0.1,10895.5,100.0,72,61.89,5198.76,0.06,720,0.66,0,0.0,127.56,10715.04,0.13,1089.55,0.1,10,5.0,0.01,0,0.0,10.11,109435
5,BUY_A,ST_FLIP_RED,2025-07-08T12:00:00,2025-07-09T08:00:00,long,108475,108235,100,0.1,10847.5,100.0,-24,-34.11,-2865.24,-0.03,0,0.0,240,0.22,93.45,7849.8,0.09,1084.75,0.1,10,5.0,0.01,0,0.0,10.11,107995
6,SELL_A,ST_FLIP_GREEN,2025-07-09T08:00:00,2025-07-09T12:00:00,short,108235,108715,100,0.1,10823.5,100.0,-48,-58.11,-4881.24,-0.06,0,0.0,480,0.44,35.34,2968.56,0.04,1082.35,0.1,10,5.0,0.01,0,0.0,10.11,108715
7,BUY_A,ST_FLIP_RED,2025-07-09T12:00:00,2025-07-09T18:00:00,long,108715,108715,100,0.1,10871.5,100.0,0,-10.11,-849.24,-0.01,0,0.0,0,0.0,25.23,2119.32,0.03,1087.15,0.1,10,5.0,0.01,0,0.0,10.11,108235
8,SELL_A,ST_FLIP_GREEN,2025-07-09T18:00:00,2025-07-09T22:00:00,short,108715,109195,100,0.1,10871.5,100.0,-48,-58.11,-4881.24,-0.06,0,0.0,480,0.44,-32.88,-2761.92,-0.03,1087.15,0.1,10,5.0,0.01,0,0.0,10.11,109195
9,BUY_A,ST_FLIP_RED,2025-07-09T22:00:00,2025-07-11T20:00:00,long,109195,117355,100,0.1,10919.5,100.0,816,805.89,67694.76,0.81,8160,7.47,0,0.0,773.01,64932.84,0.77,1091.95,0.1,10,5.0,0.01,0,0.0,10.11,108715
10,SELL_B,ST_FLIP_GREEN,2025-07-11T20:00:00,2025-07-13T08:00:00,short,117355,117595,100,0.1,11735.5,100.0,-24,-34.11,-2865.24,-0.03,0,0.0,240,0.2,738.9,62067.6,0.74,1173.55,0.1,10,5.0,0.01,0,0.0,10.11,117835
