trade_number,entry_type,exit_type,entry_datetime,exit_datetime,direction,entry_price,exit_price,size_qty,actual_quantity,size_value,lot_notional_usd,gross_pnl,net_pnl,net_pnl_inr,net_pnl_pct,favorable_excursion,favorable_excursion_pct,adverse_excursion,adverse_excursion_pct,cumulative_pnl,cumulative_pnl_inr,cumulative_pnl_pct,margin_required,taker_fees_usd,slippage_usd,slippage_applied,funding_usd,insurance_usd,tax_usd,total_charges_usd,stop_loss
1,SELL_B,ST_FLIP_GREEN,2025-07-03T04:00:00,2025-07-03T10:00:00,short,108863,109237,100,0.1,10886.3,100.0,-37.4,-47.51,-3990.84,-0.05,0,0.0,374,0.34,-47.51,-3990.84,-0.05,1088.63,0.1,10,5.0,0.01,0,0.0,10.11,109237
2,BUY_B,ST_FLIP_RED,2025-07-03T10:00:00,2025-07-03T20:00:00,long,109237,109237,100,0.1,10923.7,100.0,0.0,-10.11,-849.24,-0.01,0,0.0,0,0.0,-57.62,-4840.08,-0.06,1092.37,0.1,10,5.0,0.01,0,0.0,10.11,108863
3,SELL_A,ST_FLIP_GREEN,2025-07-03T20:00:00,2025-07-03T22:00:00,short,109050,109611,100,0.1,10905.0,100.0,-56.1,-66.21,-5561.64,-0.07,0,0.0,561,0.51,-123.83,-10401.72,-0.12,1090.5,0.1,10,5.0,0.01,0,0.0,10.11,109424
4,BUY_A,ST_FLIP_RED,2025-07-03T22:00:00,2025-07-04T06:00:00,long,109611,109237,100,0.1,10961.1,100.0,-37.4,-47.51,-3990.84,-0.05,0,0.0,374,0.34,-171.34,-14392.56,-0.17,1096.11,0.1,10,5.0,0.01,0,0.0,10.11,109237
5,SELL_A,ST_FLIP_GREEN,2025-07-04T06:00:00,2025-07-05T02:00:00,short,109237,108115,100,0.1,10923.7,100.0,112.2,102.09,8575.56,0.1,1122,1.03,0,0.0,-69.25,-5817.0,-0.07,1092.37,0.1,10,5.0,0.01,0,0.0,10.11,109611
6,BUY_A,ST_FLIP_RED,2025-07-05T02:00:00,2025-07-05T20:00:00,long,108115,107741,100,0.1,10811.5,100.0,-37.4,-47.51,-3990.84,-0.05,0,0.0,374,0.35,-116.76,-9807.84,-0.12,1081.15,0.1,10,5.0,0.01,0,0.0,10.11,107741
7,BUY_B,ST_FLIP_RED,2025-07-06T18:00:00,2025-07-07T12:00:00,long,108489,108676,100,0.1,10848.9,100.0,18.7,8.59,721.56,0.01,187,0.17,0,0.0,-108.17,-9086.28,-0.11,1084.89,0.1,10,5.0,0.01,0,0.0,10.11,108115
8,SELL_A,ST_FLIP_GREEN,2025-07-07T16:00:00,2025-07-08T00:00:00,short,108489,108115,100,0.1,10848.9,100.0,37.4,27.29,2292.36,0.03,374,0.34,0,0.0,-80.88,-6793.92,-0.08,1084.89,0.1,10,5.0,0.01,0,0.0,10.11,108863
9,BUY_A,ST_FLIP_RED,2025-07-08T04:00:00,2025-07-08T06:00:00,long,108302,107741,100,0.1,10830.2,100.0,-56.1,-66.21,-5561.64,-0.07,0,0.0,561,0.52,-147.09,-12355.56,-0.15,1083.02,0.1,10,5.0,0.01,0,0.0,10.11,107928
10,SELL_A,ST_FLIP_GREEN,2025-07-08T06:00:00,2025-07-08T16:00:00,short,107741,108489,100,0.1,10774.1,100.0,-74.8,-84.91,-7132.44,-0.08,0,0.0,748,0.69,-232.0,-19488.0,-0.23,1077.41,0.1,10,5.0,0.01,0,0.0,10.11,108115
