entry_ts,exit_ts,dir,lots,bt_entry,lv_entry,bt_exit,lv_exit,total_charges
2026-09-15T05:30:00,2026-09-15T06:00:00,long,100,77515.0,77559.0,77469.0,77383.0,9.141577999999999
2026-09-15T06:30:00,2026-09-15T08:30:00,short,100,77285.0,77259.0,77009.0,76975.13,9.09981367
2026-09-15T08:30:00,2026-09-15T09:00:00,long,100,77009.0,76946.0,76871.0,76896.0,9.076678
2026-09-15T10:30:00,2026-09-15T11:30:00,long,100,77009.0,77040.14,76917.0,76922.0,9.08376626
2026-09-15T13:30:00,2026-09-15T15:00:00,short,100,76779.0,76610.0,76089.0,76320.02,9.02287118
2026-09-15T15:00:00,2026-09-15T16:30:00,long,100,76089.0,76356.02,76319.0,76361.0,9.01030418
2026-09-15T17:00:00,2026-09-15T18:30:00,long,100,76457.0,76499.0,76779.0,75974.0,8.995906999999999
2026-09-15T18:30:00,2026-09-15T19:30:00,short,100,76779.0,75924.5,76043.0,76044.1,8.9661474
2026-09-15T19:30:00,2026-09-15T20:00:00,long,100,76043.0,76044.6,76043.0,75960.5,8.9683009
2026-09-15T21:00:00,2026-09-15T22:30:00,short,100,75721.0,75956.5,75583.0,76541.8,8.997399699999999
2026-09-15T22:30:00,2026-09-16T01:30:00,long,100,75583.0,76541.8,75675.0,75952.0,8.997134200000001
2026-09-16T01:30:00,2026-09-16T02:00:00,short,100,75583.0,75952.0,75583.0,77625.5,6.29481019
2026-09-16T05:30:00,2026-09-16T07:00:00,long,100,75951.0,75959.5,75859.0,75794.0,8.953456500000001
2026-09-16T07:00:00,2026-09-16T08:30:00,short,100,75859.0,PENDING,75552.5,75711.055,4.46695225
2026-09-16T08:30:00,2026-09-16T12:00:00,long,100,75598.5,PENDING,76039.5,75910.5,4.4787195
2026-09-16T12:00:00,2026-09-16T14:00:00,short,100,76039.5,75910.5,75775.5,75797.095,8.95074811
2026-09-16T14:00:00,2026-09-16T14:30:00,long,100,75821.5,75805.38,75677.5,75666.0,8.93681142
2026-09-16T14:30:00,2026-09-16T15:30:00,short,100,75677.5,75662.0,75764.0,75773.5,8.934694499999999
2026-09-16T15:30:00,2026-09-16T17:00:00,long,100,75764.0,75773.5,75654.0,76004.5,8.954902
2026-09-16T18:00:00,2026-09-16T18:30:00,long,100,75792.0,75953.12,75811.0,75640.5,8.94402358
2026-09-16T18:30:00,2026-09-16T19:30:00,short,100,75765.0,75674.0,75693.5,76079.0,8.953427
2026-09-16T19:30:00,2026-09-16T21:00:00,long,100,75739.5,76057.0,76014.5,76064.0,8.975139
2026-09-16T21:30:00,2026-09-16T23:00:00,short,100,75970.5,75969.0,75830.5,76061.0,8.96977
2026-09-16T23:00:00,2026-09-17T01:30:00,long,100,75876.5,76074.5,76439.5,76346.0,8.9928095
2026-09-17T01:30:00,2026-09-17T02:30:00,short,100,76439.5,76346.5,76299.5,76364.0,9.009919499999999
2026-09-17T02:30:00,2026-09-17T04:00:00,long,100,76391.5,76369.5,76298.0,76183.0,9.000597500000001
2026-09-17T04:00:00,2026-09-17T04:30:00,short,100,76298.0,76195.0,76284.5,76505.0,9.0093
2026-09-17T04:30:00,2026-09-17T05:30:00,long,100,76330.5,76526.0,76396.5,76298.0,4.501582
2026-09-17T05:30:00,2026-09-17T06:00:00,short,100,76350.5,76289.0,76440.0,76454.5,9.0118665
2026-09-17T06:00:00,2026-09-17T09:30:00,long,100,76455.0,76457.0,76483.5,76450.5,9.0215425
2026-09-17T09:30:00,2026-09-17T11:30:00,short,100,76483.5,76450.5,76457.0,76461.19,9.021789720000001
2026-09-17T11:30:00,2026-09-17T12:30:00,long,100,76503.0,76466.19,76825.0,76708.5,9.03730672
2026-09-17T12:30:00,2026-09-17T13:30:00,short,100,76825.0,76688.5,76595.0,76698.955,9.04985985
2026-09-17T13:30:00,2026-09-17T14:30:00,long,100,76641.0,76672.46,76779.0,76488.5,9.03649664
2026-09-17T14:30:00,2026-09-17T15:30:00,short,100,76733.0,76472.5,76595.0,76767.5,9.04116
2026-09-17T15:30:00,2026-09-17T17:30:00,long,100,76641.0,76770.0,76733.0,76654.5,4.5226155
2026-09-17T17:30:00,2026-09-17T20:00:00,short,100,76687.0,76657.0,76687.0,76694.5,9.047738500000001
2026-09-17T22:30:00,2026-09-18T00:00:00,long,100,76411.0,76402.315,76319.0,76366.5,9.013360089999999
2026-09-18T00:30:00,2026-09-18T04:00:00,long,100,76457.0,76575.0,77239.0,77268.0,9.076737
2026-09-18T04:00:00,2026-09-18T04:30:00,short,100,77239.0,77268.0,77377.0,77567.5,9.1352945
