label,sig_ts,detected_at,lag_sec,exceeds_floor,gate_lockout_signature,direction,price_then,price_now,est_damage_usd
S4V2,2026-09-11T19:00:00+00:00,1789155002.692203,1802.7,True,False,long,77193.0,77201.0,0.8
S4V3,2026-09-11T16:00:00+00:00,1789156805.188123,14405.2,True,False,short,77607.0,77250.5,35.65
S4V2,2026-09-11T21:30:00+00:00,1789164004.988883,1805.0,True,False,long,77193.0,77088.5,10.45
S4V2,2026-09-11T21:30:00+00:00,1789164004.988883,1805.0,True,False,short,77055.0,77088.5,3.35
S4V2,2026-09-11T23:00:00+00:00,1789169420.970648,1821.0,True,False,short,77193.0,77168.0,2.5
S4V2,2026-09-11T23:00:00+00:00,1789169420.970648,1821.0,True,False,long,77193.0,77168.0,2.5
S4,2026-09-11T22:00:00+00:00,1789171208.25441,7208.3,True,False,short,77239.0,77199.0,4.0
S4V3,2026-09-11T12:00:00+00:00,1789171208.999723,43209.0,True,True,short,77147.0,77199.0,5.2
S4,2026-09-11T22:00:00+00:00,1789171208.25441,7208.3,True,False,long,77239.0,77199.0,4.0
S4V2,2026-09-12T05:00:00+00:00,1789191006.600852,1806.6,True,False,long,77147.0,77165.0,1.8
S4V2,2026-09-12T06:30:00+00:00,1789196403.091607,1803.1,True,False,long,77285.0,77267.5,1.75
S4V2,2026-09-12T17:00:00+00:00,1789234202.360936,1802.4,True,False,long,77285.0,77271.0,1.4
S4V2,2026-09-12T17:00:00+00:00,1789234202.360936,1802.4,True,False,short,77239.0,77271.0,3.2
S4,2026-09-12T16:00:00+00:00,1789236005.972434,7206.0,True,False,long,77193.0,77181.0,1.2
S4,2026-09-12T20:00:00+00:00,1789250410.486534,7210.5,True,False,long,77239.0,77226.0,1.3
S4V2,2026-09-12T21:30:00+00:00,1789250410.829557,1810.8,True,False,short,77239.0,77226.0,1.3
S4V2,2026-09-13T01:30:00+00:00,1789264811.811125,1811.8,True,False,long,77285.0,77293.0,0.8
S4V2,2026-09-13T03:30:00+00:00,1789272001.901568,1801.9,True,False,long,77147.0,77169.5,2.25
S4V2,2026-09-13T03:30:00+00:00,1789272001.901568,1801.9,True,False,short,77147.0,77169.5,2.25
S4,2026-09-13T02:00:00+00:00,1789272004.24749,7204.2,True,False,long,77147.0,77169.5,2.25
S4V3,2026-09-13T00:00:00+00:00,1789272005.598542,14405.6,True,False,short,77147.0,77169.5,2.25
S4V2,2026-09-13T05:00:00+00:00,1789277405.54617,1805.5,True,False,short,77285.0,77258.0,2.7
S4V2,2026-09-13T05:00:00+00:00,1789277405.54617,1805.5,True,False,long,77285.0,77258.0,2.7
S4,2026-09-13T04:00:00+00:00,1789279206.478572,7206.5,True,False,long,77331.0,77288.0,4.3
S4V2,2026-09-13T06:30:00+00:00,1789282802.486779,1802.5,True,False,long,77147.0,77090.0,5.7
S4V2,2026-09-13T06:30:00+00:00,1789282802.486779,1802.5,True,False,short,77147.0,77090.0,5.7
S4,2026-09-13T06:00:00+00:00,1789286406.175633,7206.2,True,False,long,77147.0,77095.5,5.15
S4,2026-09-13T06:00:00+00:00,1789286406.175633,7206.2,True,False,short,77147.0,77095.5,5.15
S4V2,2026-09-13T09:30:00+00:00,1789293602.406577,1802.4,True,False,short,76779.0,76774.5,0.45
S4V2,2026-09-13T09:30:00+00:00,1789293602.406577,1802.4,True,False,long,76779.0,76774.5,0.45
S4V2,2026-09-13T10:30:00+00:00,1789296922.813614,1522.8,True,False,long,76641.0,76639.0,0.2
S4V2,2026-09-13T10:30:00+00:00,1789296922.813614,1522.8,True,False,short,76595.0,76639.0,4.4
S4V2,2026-09-13T13:30:00+00:00,1789308005.803667,1805.8,True,False,short,76687.0,76821.0,13.4
S4V2,2026-09-13T13:30:00+00:00,1789308005.803667,1805.8,True,False,long,76687.0,76821.0,13.4
S4V2,2026-09-13T15:00:00+00:00,1789313404.48402,1804.5,True,False,long,77009.0,77014.5,0.55
S4V3,2026-09-13T12:00:00+00:00,1789315210.977114,14411.0,True,False,short,76871.0,77105.5,23.45
S4,2026-09-13T14:00:00+00:00,1789315211.914763,7211.9,True,False,short,76917.0,77105.5,18.85
S4,2026-09-13T14:00:00+00:00,1789315211.914763,7211.9,True,False,long,76917.0,77105.5,18.85
S4V2,2026-09-13T15:30:00+00:00,1789315212.566086,1812.6,True,False,long,77147.0,77105.5,4.15
S4V2,2026-09-13T22:00:00+00:00,1789338602.517553,1802.5,True,False,long,77239.0,76815.5,42.35
S4V2,2026-09-13T22:00:00+00:00,1789338602.517553,1802.5,True,False,short,77239.0,76815.5,42.35
S4V3,2026-09-13T20:00:00+00:00,1789344006.397014,14406.4,True,False,short,77147.0,76812.5,33.45
S4,2026-09-13T22:00:00+00:00,1789344007.01381,7207.0,True,False,long,77147.0,76812.5,33.45
S4,2026-09-13T22:00:00+00:00,1789344007.01381,7207.0,True,False,short,77147.0,76812.5,33.45
S4V2,2026-09-14T00:30:00+00:00,1789347602.611833,1802.6,True,False,short,76595.0,76782.5,18.75
S4V2,2026-09-14T00:30:00+00:00,1789347602.611833,1802.6,True,False,long,76595.0,76782.5,18.75
S4,2026-09-14T00:00:00+00:00,1789351203.779601,7203.8,True,False,short,76917.0,77097.5,18.05
S4,2026-09-14T00:00:00+00:00,1789351203.779601,7203.8,True,False,long,76917.0,77097.5,18.05
S4V2,2026-09-14T03:30:00+00:00,1789358403.183161,1803.2,True,False,long,77653.0,77566.5,8.65
S4V2,2026-09-14T03:30:00+00:00,1789358403.183161,1803.2,True,False,short,77653.0,77566.5,8.65
S4V3,2026-09-14T00:00:00+00:00,1789358408.264286,14408.3,True,False,short,76871.0,77566.5,69.55
S4V2,2026-09-14T07:00:00+00:00,1789371002.215651,1802.2,True,False,short,77653.0,77677.0,2.4
S4V2,2026-09-14T07:30:00+00:00,1789372802.518549,1802.5,True,False,long,77791.0,77862.0,7.1
S4V2,2026-09-14T08:00:00+00:00,1789374602.673769,1802.7,True,False,long,77699.0,77725.0,2.6
S4V2,2026-09-14T08:00:00+00:00,1789374602.673769,1802.7,True,False,short,77699.0,77725.0,2.6
S4V2,2026-09-14T09:30:00+00:00,1789380005.567394,1805.6,True,False,short,77837.0,78117.5,28.05
S4V2,2026-09-14T09:30:00+00:00,1789380005.567394,1805.6,True,False,long,77883.0,78117.5,23.45
S4V2,2026-09-14T10:00:00+00:00,1789381805.346506,1805.3,True,False,long,78021.0,77942.5,7.85
S4V2,2026-09-14T10:00:00+00:00,1789381805.346506,1805.3,True,False,short,78021.0,77942.5,7.85
S4,2026-09-14T10:00:00+00:00,1789387206.2075,7206.2,True,False,long,77975.0,77753.5,22.15
S4,2026-09-14T10:00:00+00:00,1789387206.2075,7206.2,True,False,short,77975.0,77753.5,22.15
S4V2,2026-09-14T12:00:00+00:00,1789389002.278088,1802.3,True,False,short,77929.0,77972.5,4.35
S4V2,2026-09-14T12:30:00+00:00,1789390803.096823,1803.1,True,False,short,77837.0,77671.0,16.6
S4V2,2026-09-14T13:00:00+00:00,1789392602.323166,1802.3,True,False,short,77791.0,77841.0,5.0
S4V2,2026-09-14T13:00:00+00:00,1789392602.323166,1802.3,True,False,long,77837.0,77841.0,0.4
S4,2026-09-14T12:00:00+00:00,1789394146.95616,6947.0,True,False,short,77883.0,78222.5,33.95
S4,2026-09-14T12:00:00+00:00,1789394146.95616,6947.0,True,False,long,77929.0,78222.5,29.35
S4V2,2026-09-14T15:00:00+00:00,1789399804.392508,1804.4,True,False,long,78343.0,78382.0,3.9
S4V2,2026-09-14T15:00:00+00:00,1789399804.392508,1804.4,True,False,short,78343.0,78382.0,3.9
S4V2,2026-09-14T15:30:00+00:00,1789401602.793709,1802.8,True,False,short,78481.0,78551.0,7.0
S4V2,2026-09-14T15:30:00+00:00,1789401602.793709,1802.8,True,False,long,78573.0,78551.0,2.2
S4V2,2026-09-14T19:30:00+00:00,1789416003.648429,1803.6,True,False,long,79033.0,78960.0,7.3
S4V2,2026-09-14T19:30:00+00:00,1789416003.648429,1803.6,True,False,short,79033.0,78960.0,7.3
S4V2,2026-09-14T20:00:00+00:00,1789417814.013551,1814.0,True,False,short,79079.0,79414.0,33.5
S4V2,2026-09-14T20:00:00+00:00,1789417814.013551,1814.0,True,False,long,79217.0,79414.0,19.7
S4V2,2026-09-14T20:30:00+00:00,1789419603.280011,1803.3,True,False,long,79309.0,79074.0,23.5
S4V2,2026-09-14T20:30:00+00:00,1789419603.280011,1803.3,True,False,short,79309.0,79074.0,23.5
S4,2026-09-14T20:00:00+00:00,1789423203.613015,7203.6,True,False,long,78803.0,78736.5,6.65
S4,2026-09-14T20:00:00+00:00,1789423203.613015,7203.6,True,False,short,78803.0,78736.5,6.65
S4V3,2026-09-14T20:00:00+00:00,1789430404.995562,14405.0,True,False,short,78849.0,78162.5,68.65
S4V2,2026-09-15T05:30:00+00:00,1789451532.627322,1332.6,True,False,short,77515.0,77528.0,1.3
S4V2,2026-09-15T05:30:00+00:00,1789451532.627322,1332.6,True,False,long,77515.0,77528.0,1.3
S4V2,2026-09-15T06:00:00+00:00,1789453802.473758,1802.5,True,False,long,77469.0,77384.0,8.5
S4V2,2026-09-15T06:30:00+00:00,1789455603.504613,1803.5,True,False,short,77285.0,77259.0,2.6
S4V2,2026-09-15T08:30:00+00:00,1789462802.145778,1802.1,True,False,short,77009.0,76973.0,3.6
S4V2,2026-09-15T08:30:00+00:00,1789462802.145778,1802.1,True,False,long,77009.0,76973.0,3.6
S4V2,2026-09-15T09:00:00+00:00,1789464602.577777,1802.6,True,False,long,76871.0,76890.5,1.95
S4V2,2026-09-15T10:30:00+00:00,1789470005.013265,1805.0,True,False,long,77009.0,77031.0,2.2
S4V2,2026-09-15T11:30:00+00:00,1789473607.40268,1807.4,True,False,long,76917.0,76907.0,1.0
S4V2,2026-09-15T13:30:00+00:00,1789480802.418636,1802.4,True,False,short,76779.0,76598.0,18.1
S4V2,2026-09-15T15:00:00+00:00,1789486202.398744,1802.4,True,False,short,76089.0,76318.0,22.9
S4V2,2026-09-15T15:00:00+00:00,1789486202.398744,1802.4,True,False,long,76089.0,76318.0,22.9
S4V2,2026-09-15T16:30:00+00:00,1789491602.157147,1802.2,True,False,long,76319.0,76359.5,4.05
S4V2,2026-09-15T17:00:00+00:00,1789493402.226618,1802.2,True,False,long,76457.0,76491.5,3.45
S4,2026-09-15T16:00:00+00:00,1789495203.498209,7203.5,True,False,short,76641.0,76939.0,29.8
S4,2026-09-15T16:00:00+00:00,1789495203.498209,7203.5,True,False,long,76641.0,76939.0,29.8
S4V2,2026-09-15T18:30:00+00:00,1789498805.878394,1805.9,True,False,long,76779.0,75949.0,83.0
S4V2,2026-09-15T18:30:00+00:00,1789498805.878394,1805.9,True,False,short,76779.0,75949.0,83.0
S4V2,2026-09-15T19:30:00+00:00,1789502402.393197,1802.4,True,False,short,76043.0,76157.5,11.45
S4V2,2026-09-15T19:30:00+00:00,1789502402.393197,1802.4,True,False,long,76043.0,76157.5,11.45
S4,2026-09-15T18:00:00+00:00,1789502404.74865,7204.7,True,False,long,76825.0,76151.0,67.4
S4,2026-09-15T18:00:00+00:00,1789502404.74865,7204.7,True,False,short,76779.0,76151.0,62.8
S4V2,2026-09-15T20:00:00+00:00,1789504204.160486,1804.2,True,False,long,76043.0,75708.5,33.45
S4V2,2026-09-15T20:00:00+00:00,1789504204.160486,1804.2,True,False,short,75905.0,75708.5,19.65
S4V2,2026-09-15T20:30:00+00:00,1789506014.370406,1814.4,True,False,short,75813.0,75908.0,9.5
S4V2,2026-09-15T20:30:00+00:00,1789506014.370406,1814.4,True,False,long,75813.0,75908.0,9.5
S4V2,2026-09-15T21:00:00+00:00,1789507802.426987,1802.4,True,False,long,75813.0,75657.0,15.6
S4V2,2026-09-15T21:00:00+00:00,1789507802.426987,1802.4,True,False,short,75721.0,75657.0,6.4
S4V2,2026-09-15T22:30:00+00:00,1789513205.405052,1805.4,True,False,short,75583.0,75639.5,5.65
S4V2,2026-09-15T22:30:00+00:00,1789513205.405052,1805.4,True,False,long,75583.0,75639.5,5.65
S4,2026-09-15T22:00:00+00:00,1789516807.434362,7207.4,True,False,short,75583.0,75607.0,2.4
S4,2026-09-15T22:00:00+00:00,1789516807.434362,7207.4,True,False,long,75583.0,75607.0,2.4
S4V2,2026-09-16T01:30:00+00:00,1789524001.980123,1802.0,True,False,long,75675.0,75472.5,20.25
S4V2,2026-09-16T01:30:00+00:00,1789524001.980123,1802.0,True,False,short,75583.0,75472.5,11.05
S4,2026-09-16T00:00:00+00:00,1789524006.365359,7206.4,True,False,long,75491.0,75472.5,1.85
S4V2,2026-09-16T02:00:00+00:00,1789525802.791619,1802.8,True,False,short,75583.0,75924.0,34.1
S4V2,2026-09-16T02:00:00+00:00,1789525802.791619,1802.8,True,False,long,75583.0,75924.0,34.1
S4V2,2026-09-16T03:00:00+00:00,1789529402.602542,1802.6,True,False,long,75813.0,75830.0,1.7
S4V3,2026-09-16T00:00:00+00:00,1789531204.875598,14404.9,True,False,short,75721.0,75794.5,7.35
S4V2,2026-09-16T05:30:00+00:00,1789538405.386009,1805.4,True,False,long,75951.0,75933.0,1.8
S4V2,2026-09-16T07:00:00+00:00,1789543802.114473,1802.1,True,False,long,75859.0,75789.0,7.0
S4V2,2026-09-16T07:00:00+00:00,1789543802.114473,1802.1,True,False,short,75859.0,75789.0,7.0
S4,2026-09-16T06:00:00+00:00,1789545399.456839,6999.5,True,False,long,75752.5,75767.0,1.45
S4,2026-09-16T06:00:00+00:00,1789545399.456839,6999.5,True,False,short,75752.5,75767.0,1.45
S4V2,2026-09-16T08:30:00+00:00,1789549202.823152,1802.8,True,False,short,75552.5,75705.0,15.25
S4V2,2026-09-16T08:30:00+00:00,1789549202.823152,1802.8,True,False,long,75598.5,75705.0,10.65
S4,2026-09-16T08:00:00+00:00,1789552802.130204,7202.1,True,False,short,75860.5,75967.5,10.7
S4,2026-09-16T08:00:00+00:00,1789552802.130204,7202.1,True,False,long,75906.5,75967.5,6.1
