2026-09-07T20:00:00,2026-09-08T12:00:00,short,100,79263.0,78527.0
2026-09-08T16:00:00,2026-09-09T00:00:00,short,100,78757.0,78481.0
2026-09-09T12:00:00,2026-09-10T06:01:03,short,100,79171.0,78502.19
2026-09-11T08:00:00,2026-09-11T00:00:00,short,100,77101.0,76641.0
2026-09-11T16:00:00,2026-09-11T12:00:00,short,100,77607.0,77147.0
2026-09-12T16:00:00,2026-09-12T20:00:00,short,100,77239,77147
2026-09-13T00:00:00,2026-09-13T12:00:00,short,100,77147.0,76871.0
2026-09-13T20:00:00,2026-09-14T00:00:00,short,100,77147.0,76871.0
2026-09-14T20:00:00,2026-09-16T00:00:00,short,100,78849.0,75721.0
2026-09-16T12:00:00,2026-09-16T16:00:00,short,100,76091.5,75814.5
2026-09-16T16:00:00,2026-09-17T08:12:19,long,100,75829.5,76470.74597211
2026-09-17T16:00:00,2026-09-18T00:00:00,short,100,76641,76549
2026-09-18T00:00:00,2026-09-18T20:00:00,long,100,76549.0,81057.0
2026-09-18T20:00:00,2026-09-19T00:00:00,short,100,81057,80965
2026-09-19T00:00:00,2026-09-19T16:00:00,long,100,80965.0,81517.0
2026-09-19T16:00:00,2026-09-20T08:00:00,short,100,81517.0,80413.0
2026-09-20T08:00:00,PENDING,long,100,80413.0,
